Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,2240016,ARUNACHAL PRADESH,ANJAW,"P.O. HAWAI, VIA HAYULIANG, DISTT ANJAW ARUNACHAL PRADESH",792102,91,"9402757750 ,",,,mishrakex@gmail.com,,1992,4/30/2014 0:00,ASHUTOSH MISHRA,1,,,,Secondary School,Provisional,1/4/2011,31/3/2019,navodaya vidyalaya samiti
,,,,,,,,,,,,,,,,,,,,,,,
ASSAM RIFLES JUNIOR SCHOOL,2230033,ARUNACHAL PRADESH,CHANGLANG,JAIRAMPUR DT CHANGLANG 29 ASSAM RIFLES C/O 99 APO,,3804,"22566 ,",,,,,,,SH H N HALOI,,,,,Secondary School,Provisional,1/4/2007,31/3/2012,29 ASSAM RIFLES C/O 99 APO
,,,,,,,,,,,,,,,,,,,,,,,
ASSAM RIFLES SECONDARY SCHOOL,2280003,ARUNACHAL PRADESH,CHANGLANG,"C/O 7, ASSAM RIFLES JAIRAMPUR DISTT CHANGLAND ARUNACHAL PRADESH",792121,3800,"22242 ,",0385-2427222,,ajitirom@gmail.com,,1987,6/1/2005 0:00,SH S N DWIVEDI,1,,,,Secondary School,Provisional,1/4/2019,31/3/2022,ASSAM RIFLES PARA MILT FORCE
,,,,,,,,,,,,,,,,,,,,,,,
GOVT HR SEC SCHOOL,2220106,ARUNACHAL PRADESH,CHANGLANG,INNAO DT- CHANGLANG ARUNACHAL PRADESH,792122,0,"0 ,",33326,,rupa.tangha123@gmail.com,,1964,,RUPA TANGHA,,,,,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2007,DPI
,,,,,,,,,,,,,,,,,,,,,,,
GOVT HR SEC SCHOOL,2220005,ARUNACHAL PRADESH,CHANGLANG,CHANGLANG DT- CHANGLANG ARUNACHAL PRADESH,792120,380,"222222 ,",3808222251,,principalgghssclg@gmail.com,,,,Konhap Taijong,1,"BA, B.ED",5,30,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2007,
,,,,,,,,,,,,,,,,,,,,,,,
GOVT HR SEC SCHOOL,2220022,ARUNACHAL PRADESH,CHANGLANG,NAMPONG DT- CHANGLANG ARUNACHAL PRADESH,792123,3800,"000000 ,",,,ghssnampong@gmail.com,,0,,OSUP TAHAR,,,,,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2007,GOVT OF ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,
GOVT HR SEC SCHOOL,2220026,ARUNACHAL PRADESH,CHANGLANG,MIAO DT- CHANGLANG ARUNACHAL PRADESH,792122,3807,"222256 ,",,,,,,,GENKENG TAYENG,,,,,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2007,GOVT. OF ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,
GOVT HR SEC SCHOOL,2220033,ARUNACHAL PRADESH,CHANGLANG,BORDUMSA VIA- TINSUKIA DT - CHANGLANG ARUNACHAL PRADESH,792056,3806,"244204 ,",,,principalbsa@gmail.com,,1952,,DAKKEN KOYU,,,,,Senior Secondary,Provisional,1/4/2001,31/ 3/ 2007,D P I
