Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
araria public school,330145,BIHAR,ARARIA,wasiabad po araria distt araria bihar,854311,6453,"222229 ,",9931768166,,aps_principal@yahoo.com,www.apsararia.in,1987,8/12/2007 0:00,Farhin Afzal,2,"m.sc,b.ed",4,5,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,al-wasi education trust
,,,,,,,,,,,,,,,,,,,,,,,
AS SABEEL ACADEMY,330732,BIHAR,ARARIA,ABUL HASAN COMPLEX AZAM NAGAR PO:- KUSYAR GAON,854311,91,"7903166850 ,",,,assabeelap11@gmail.com,http://www.assabeel.in,1989,1/26/1989 0:00,MD NAIM CHAND,,"B.Sc., B.Ed",5,7,Secondary School,Provisional,1/4/2017,31/3/2020,AL HASNAT EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
CAREER GUIDE ACADEMY,330606,BIHAR,ARARIA,"DIYAGANJ.RAMPUR KODARKATTI,N.H-57,ARARIA",854325,6453,"223138 ,",,,cga.araria@gmail.com,,1996,1/1/1996 0:00,MAROOF,0,M.A,2,2,Secondary School,Provisional,1/4/2015,31/3/2018,QUAYAM EDUCATIONAL AND WELFARE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
IHHS Academy,330579,BIHAR,ARARIA,AT&PO-BATHNAHA,854316,6455,"290002 ,",,,ihhsacademy@gmail.com,,2006,1/6/2006 0:00,ARJUN KUMAR SAH,0,B.Sc. B.Ed.,5,10,Secondary School,Provisional,1/4/2017,31/3/2022,swargiya surendra babu smititi sansthan
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,340027,BIHAR,ARARIA,"R S VILLAGE MAZA RAHIKPUR ARARIA Distt.,BIHAR",854312,0,"0 ,",206,,dks171962@gmail.com,,1987,4/1/1991 0:00,DINESH KUMAR SAHU,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2018,n.v.s.
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,300012,BIHAR,ARARIA,KARO SPECIAL PROJECT P O SUNDAY BAZAR BOKARO DISTT JHARKHAND,829127,1482,"7567 ,",7182,,stmary1983@gmail.com,,1980,7/2/1983 0:00,SATYA DEO,1,M.A Bed,3,8,Senior Secondary,Provisional,18/9/1986,31/ 3/ 2002,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,300047,BIHAR,ARARIA,"CAMPUS OF MAHATMA GANDHI SMARAK HIGH SCHOOL, NEAR RAILWAY STATION, ARARIA, BIHAR",854312,6453,"224670 ,",479,,am_kerkatta@rediffmail.com,,1994,,A M KERKETTA,0,,,,Secondary School,Provisional,1/4/2011,31/3/2013,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA NO 2,300010,BIHAR,ARARIA,SECTOR VIII C BOKARO STEEL CITY BOKARO JHARKHAND,827009,1482,"7567 ,",7182,,stmary1983@gmail.com,,1977,7/2/1983 0:00,SUDHIR MODAWA,1,M.A Bed,3,8,Senior Secondary,Provisional,29/12/1988,31/ 3/ 2002,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
mithila public school,330021,BIHAR,ARARIA,r b nagar bhadreshwar fbesganj araria bihar,854318,6455,"223164 ,",9470208444,223799,principalmps@gmail.com,,1989,4/2/2007 0:00,PUTUL MISHRA,2,"m. sc. , b. ed.ma educ",22,24,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,modern ednl & social enhartemal tst
,,,,,,,,,,,,,,,,,,,,,,,
MOHINI DEVI MEMORIAL SCHOOL,330170,BIHAR,ARARIA,"AT & PO ARARIA, BIHAR",854312,6453,"222277 ,",440303,,bnjha1961@gmail.com,,2005,7/1/2005 0:00,BIRENDRA NATH JHA,1,"M.Sc.,Ph.D.,B.Ed.",7,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,K L E Society
,,,,,,,,,,,,,,,,,,,,,,,
RADHAKRISHNA SARASWATI VIDYA MANDIR,330345,BIHAR,ARARIA,"PATELNAGAR, JOGBANI",854328,6455,"242045 ,",,,dndkpur@gmail.com,,1990,1/1/1990 0:00,DEWANAND DURDARSHI,0,"B.Com, B.ed",9,17,Secondary School,Provisional,1/4/2015,31/3/2020,"Lok Shiksha Samiti, Bihar"
,,,,,,,,,,,,,,,,,,,,,,,
Scottish Public School,330679,BIHAR,ARARIA,At-Rajukhar PO+PS- Araria R.S.,854312,6453,"223321 ,",,06453-224809,nareshyadavsps@gmail.com,http://www.spsararia.in,2007,1/22/2007 0:00,NARESH YADAV,,"M.A., M.Ed.",10,15,Secondary School,Provisional,1/4/2016,31/3/2019,Aryan Educational and Social Enhancement Trust
,,,,,,,,,,,,,,,,,,,,,,,
