Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
Aanchal International School,2630067,CHANDIGARH,CHANDIGARH(UT),Sector 41-D,160036,0172,"2627628 ,",,,m.sood264@gmail.com,,1994,7/1/1994 12:00:00 AM,Manju Sood,0,M.Sc. B.Ed.,15,8,Secondary School,Provisional,1/4/2014,31/3/2019,Aanchal Educational Society
AIR FORCE REGIONAL SCHOOL,2680001,CHANDIGARH,CHANDIGARH(UT),12-WING AIR FORCE STATION CHANDIGARH,160003,011,"23101 ,",9891581307,404052,ganeshha@batelco.com.bh,,1963,4/1/2005 12:00:00 AM,ROMELA JAIN,2,"M.A.,M.Ed.",6,8,Secondary School,Provisional,1/4/2012,31/3/2020,12 WING AIR FORCE
AIR FORCE SCHOOL,2680002,CHANDIGARH,CHANDIGARH(UT),SECTOR 31-D CHANDIGARH,160047,011,"25693777 ,",011-25693777,25694947,apsdc@indiatimes.com,http://apsdelhicantt.org,1979,9/26/1995 12:00:00 AM,MRS KIRAN DATTA,2,"MAHindi, B.Ed.",13,22,Secondary School,Provisional,1/4/2013,31/3/2026,AIR FORCE SCHOOL MANAGEMENT COMM.
AJIT KARAM SINGH INTERNATIONAL PUBLIC SCHOOL,2630027,CHANDIGARH,CHANDIGARH(UT),SECTOR 41 B CHANDIGARH,160008,0172,"2626541 ,",01762281453,284069,aksips41@gmail.com,,2001,3/5/2007 12:00:00 AM,RITU BALI,2,m.a bed,8,15,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,NATIONAL EDNL.DEVLOPMENT REGD CHAD
ajit karam singh international public school,2630063,CHANDIGARH,CHANDIGARH(UT),aksips-45 sect 45 a,160036,0172,"2624445 ,",,0172-2627878,aksips45@gmail.com,http://aksips.in,2004,4/1/2004 12:00:00 AM,JASMINE KALRA,0,"ma (sociology), b.ed.",10,19,Secondary School,Provisional,1/4/2014,31/3/2019,national educational development trust
Ankur School,2630073,CHANDIGARH,CHANDIGARH(UT),Panjab university campus sector-14 chandigarh,160014,0172,"2545792 ,",,,rupin56@gmail.com,http://ankurschool.in,1976,3/3/1976 12:00:00 AM,Rupinder Kaur,2,"B.A ,B.Ed,NTT",12,26,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,Student Aid Society
Ashiana Public School,2630065,CHANDIGARH,CHANDIGARH(UT),Sector-46 A Chandigarh,160047,0172,"2633772 ,",,0172-5072463,monikakalia480@gmail.com,http://www.ashianapublicschool.net,1989,4/5/1989 12:00:00 AM,MONIKA SHARMA,0,"BA, B.Ed , MBA",5,8,Secondary School,Provisional,1/4/2014,31/3/2019,Ashiana Educational Society
BAL NIKETAN MODEL SCHOOL,2630025,CHANDIGARH,CHANDIGARH(UT),SECTOR-37A CHANDIGARH,160023,0788,"2355849 ,",235549,,mgm_school@rediffmail.com,,1970,8/12/2007 12:00:00 AM,MRS RITA,1,"M.A., B.Ed,LLB",29,35,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,BHOPAL RAM BIRLA SHIKSHAN SANSTHAN
BHAVAN'S VIDYALAYA,2630028,CHANDIGARH,CHANDIGARH(UT),SECTOR 27 B MADHYA MARG CHANDIGARH,160019,0172,"5002935 ,",67176,,vineetaarora158@gmail.com,,1983,4/5/2005 12:00:00 AM,VINEETA ARORA,1,"M.A., B.Ed.",20,28,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,BHARATIYA VIDYA BHAVAN CHANDIGARH
CARMEL CONVENT SCHOOL,2630023,CHANDIGARH,CHANDIGARH(UT),SECTOR 9B CHANDIGARH,160009,0172,"2740891 ,",01722740520,2740891,carmelconventschool09@gmail.com,,1959,,MARY SUPREETA,2,M. A History B.ed,20,18,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,THE EDUCATIONAL SOCIETY OF CARMEL
CHANDIGARH BAPTIST SCHOOL,2630047,CHANDIGARH,CHANDIGARH(UT),SECTOR 45-D CHANDIGARH,160047,0172,"2602234 , 602234",602626,602626,sarojinimasih@gmail.com,,1980,,SAROJINI N MASIH,2,M. A History B.ed,20,18,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,N W I BAPTIST ASSOCIATION CHD
Chitkara International School,2630070,CHANDIGARH,CHANDIGARH(UT),"Udyog Path, Sector- 25 West",160014,91,"7696578444 ,",,0172-4691801,cis@chitkara.edu.in,http://www.cis.chitkara.edu.in,2004,4/1/2005 12:00:00 AM,Niyati Chitkara,0,"B.Com, M.Com, B.Ed, M.Ed, Pursuing Ph.D",4,9,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Chitkara Educational Trust
D A V COLLEGE,2630032,CHANDIGARH,CHANDIGARH(UT),SECTOR 10-D CHANDIGARH,160011,0172,"24825 ,",29899,,davc_chd@rediffmail.com,,1958,,K S ARYA,0,,,,Senior Secondary,Provisional,1/4/2002,31/ 3/ 2005,DAV COLLEGE MANAGING COMMITTEE
D A V PUBLIC SCHOOL,2630031,CHANDIGARH,CHANDIGARH(UT),SECTOR 8-C CHANDIGARH,160008,0172,"2548269 ,",22458,03812342572,jaskiranharika@gmail.com,www.davpschandigarh.com,1977,6/10/1986 12:00:00 AM,Jaskiran Harika,2,"Ba, BEd",5,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,D A V COLLEGE MANAGING COMMITTEE NE
d.c. montessi school,2630069,CHANDIGARH,CHANDIGARH(UT),"pocket-ii & iii, mmj, manimajra",160101,0172,"2734464 ,",,0172-2734464,renu.verma@dcms.edu.in,http://www.dcmschd.ztc.in,2008,4/1/2008 12:00:00 AM,Renu Verma,0,"m.sc.,m.a,m.ed",31,28,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,d.c.model educational society
DAV MODEL SCHOOL,2630017,CHANDIGARH,CHANDIGARH(UT),SECTOR-15A CHANDIGARH,160016,0172,"2543956 ,",9888393438,,principal.davms@gmail.com,,1966,4/1/2005 12:00:00 AM,ANUJA SHARMA,2,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,DAV COLLEGE MANAGING COMMITTEE
DAV SR SEC SCHOOL (LAHORE),2630016,CHANDIGARH,CHANDIGARH(UT),SECTOR-8 C CHANDIGARH,160008,0172,"2781345 ,",25848,,doctor_vibha@yahoo.co.in,,1886,4/2/1980 12:00:00 AM,VIBHA RAY,0,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,DAV COLLEGE MANAGING COMMITTEE ND
DELHI PUBLIC SCHOOL,2630054,CHANDIGARH,CHANDIGARH(UT),SECTOR 40 C CHANDIGARH,795007,0172,"2690991 , 2690991",2690903,2632802,reemasudhir@gmail.com,www.dpschd.com,1993,7/9/2003 12:00:00 AM,REEMA DEWAN,2,"B.A /B.Ed, RCI",3,16,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,HERITAGE EDUCATIONAL SOCIETY
DIVYA PUBLIC SCHOOL,2630062,CHANDIGARH,CHANDIGARH(UT),"SECTOR - 44 D, CHANDIGARH",160047,0172,"2620808 ,",241465,,rajesh1267@yahoo.com,,1995,7/1/1983 12:00:00 AM,RAJESH KAMAL,1,"M.A., B.ED.",3,22,Secondary School,Provisional,1/4/2017,31/3/2022,LOKMANYA SHIKSHA SAMITI
