Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
"DAV ISPAT SENIOR SECONDARY PUBLIC SCHOOL,",3330006,CHATTISGARH,BALOD,"RAJHARA MINES DIST BALOD, CHHATTISGARH",491228,774,"8285109 ,",9907182230,,davispatrm@gmail.com,,1982,,CHANDRA MOHAN PANDEY,1,"M.Sc, B.Ed",10,32,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,BHILAI STEEL PLANT
,,,,,,,,,,,,,,,,,,,,,,,
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320205,CHATTISGARH,BALODA BAZAR,"teh. bloda, bazar, po, amera, palari, distt bloda bazar, bhatapara",110005,0,"7470792228 ,",27111207,,davmpssakari@gmail.com,,1929,4/1/1991 0:00,VIDHU SHARMA,0,"m.sc., b.ed",,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,saroj bala bansal
,,,,,,,,,,,,,,,,,,,,,,,
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320234,CHATTISGARH,BALODA BAZAR,"khamharia, distt- baloda bazar, bhatapara, chhattisgarh",494228,7729,"7470792226 ,",9424280807,,2575dhanesh@gmail.com,,1970,4/1/1991 0:00,DHANESHWARI PATEL,0,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,ditrecat of education delhi adm n
,,,,,,,,,,,,,,,,,,,,,,,
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320190,CHATTISGARH,BALRAMPUR,"PATRATU BLOCK RAJPUR, DISTT. BALRAMPUR, CHATTISGARH",497101,0,"9407747871 ,",9406130310,,pkdash000@gmail.com,,2005,4/5/2005 0:00,PRATYUSA KUMAR DASH,0,M.SC,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2017,s.k. shiksha samiti
,,,,,,,,,,,,,,,,,,,,,,,
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320191,CHATTISGARH,BALRAMPUR,"vhawarmal post chandarnagar, balrampur, chattisgarh",,0,"7470792248 ,",969104048,,shuklasachin48@gmail.com,,2005,4/5/2005 0:00,SACHIN KUMAR SHUKLA,0,m.a.,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2018,s.k. shiksha samiti
,,,,,,,,,,,,,,,,,,,,,,,
model school,3320192,CHATTISGARH,BALRAMPUR,"semara block, kusmi, distt. balrampur, chattisgarh",497224,7778,"274260 ,",969104048,,manikgupta58@gmail.com,,1970,4/1/1991 0:00,MANIK CHAND GUPTA,0,m.sc,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2017,dir. of edu.
,,,,,,,,,,,,,,,,,,,,,,,
Aadeshwar Academy,3330092,CHATTISGARH,BASTAR,"Halba Kachora, Adawal, Jagdalpur, Distt Bastar, Chhattisgarh",494001,7782,"264500 ,",,,pradip_p111@yahoo.co.in,http://aadeshwaracademy.org,2006,6/21/2006 0:00,Pradip Kumar Pandey,1,"M.Sc, B.Ed,B.P.Ed,",7,11,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,Jin Kushal Education Society
,,,,,,,,,,,,,,,,,,,,,,,
