Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
ADVAITA GURUKUL,3030009,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,NEAR RAMCO INDUSTRIES; SILI PHATAK; PO: SILI; SILVASSA; UNION TERRITORY OF DADRA AND NAGAR HAVELI,396230,,"9998811220 ,",,,rn_silvassa@yahoo.co.in,http://www.advaitagurukul.org,2014,6/16/2014 0:00,DR.RAJESHWARY NAIR,1,"M.Sc.,B.Ed., Ph.D",13,25,Secondary School,Provisional,1/4/2018,31/3/2021,GOPALAKRISHNAN NAIR NARAYANA PANICKER MEMORIAL CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
Alok Public School,3030004,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"491/1/P, Bhoyapada, Near Alok City, Sayli",396230,91,"9687001000 ,",4742061964,0260-2640609,principal@alokpublicschool.org,http://www.alokpublicschool.org,2011,6/1/2011 0:00,Sharmistha Sen,1,"M.Sc, M.Ed",5,26,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,BJJ Memorial Educational Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
BAPS Swaminarayan Vidyamandir,3030002,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"Swaminarayan Cultural Complex, Village Athal, Naroli Road,",396230,260,"9998992929 ,",,2602632750,svm.principal@gmail.com,,2004,6/12/2004 0:00,PRAKASH S PATIL,2,"M.Sc., B.Ed.",1,11,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2016,Swaminarayan Vidyapith
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,3040001,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,SILI DIST & POST SILI DADRA & NAGAR HAVELI,396230,260,"2993208 ,",3110,,mkjagadishin@gmail.com,,1986,4/1/1991 0:00,M K JAGADISH,0,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2015,NAVODAYA VIDYALAYA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,3000001,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,GOVT HR SEC SCHOOL CAMPUS TOKARKHADA SILVASSA DADAR AND NAGAR HAVELI,396230,260,"2640624 ,",2602640951,260263062,mishraakkv@rediffmail.com,http://www.kvsilvassa.org,1987,4/1/1991 0:00,ARVIND KUMAR MISHRA,1,MSc MEd,7,17,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN N.D.
,,,,,,,,,,,,,,,,,,,,,,,
LIONS ENGLISH SCHOOL,3030001,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,SAYLI ROAD SILVASSA DADAR & NAGAR HAVELI,396230,260,"2640600 ,",,,principal.lcsct@gmail.com,www.lionsenglishschool.com,2009,6/16/2010 0:00,MALLIKARJUN KARIMUNGI,1,,,,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,sri chaitanya mahaprabhu shikshan sansthan raipur (c.g.)
,,,,,,,,,,,,,,,,,,,,,,,
Mount Litera Zee school,3030007,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"late smt manjulaba balwantsinhji Chauhan educational campus, ,pruthviraj Chauhan marg, haveli faliya, Naroli( U.T.of Dadra & Nagar Haveli)",396235,260,"2650333 ,",,,principalmountliteranaroli@gmail.com,http://www.mountliteranaroli.com,2008,4/1/2009 0:00,SANTHI V,1,"M.SC, B.ED",10,21,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,KRAFTO CHARITABLE FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
NEW ERA ENGLISH MEDIUM SCHOOL,3030003,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"parmar street, morifalia,village naroli,u.t of d&n.h",396235,260,"2651077 ,",,,kirtishukla67@gmail.com,,1998,6/15/1998 0:00,KIRTI S SHUKLA,0,"b.hsc,b.ed",10,10,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,ANANDBA EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
Our Lady Of Help English School,3030008,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"Our Lady Of Help English School, Claudio Nunes Area, Samarvarni.",396230,260,"7567755147 ,",,,tricia_tpn208@yahoo.co.in,,2007,12/6/2007 0:00,Tricia Assunta Teles Pereira Nunes,,Ph.d in English Literature,7,9,Secondary School,Provisional,1/4/2016,31/3/2019,Our Lady OF Immaculate Conception Educational Society
,,,,,,,,,,,,,,,,,,,,,,,
shivprakash memorial school,3030005,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"survey no. 263, umarkui road, athola, silvassa, Distt & State Dadar and Nagar Haveli-396230",396230,260,"9624480350 ,",9993233211,0260-2640445,prisms123@gmail.com,,2002,7/16/2002 0:00,PRAMILA S UPDHAYAY,2,"m.a, m.ed, p.hd",,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,balaji education trust
,,,,,,,,,,,,,,,,,,,,,,,
"St. Xaviers School, Silvassa",3030006,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,"Bhurkud Falia, Tokarkhada",396230,260,"2993719 ,",,,dominic.gnslvs@gmail.com,,2008,4/1/2008 0:00,DOMINIC GONSALVES,0,"M.A, B.ed",10,10,Secondary School,Provisional,1/4/2018,31/3/2019,"Society of Pilar, Nagar Haveli"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
