Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
A R S D SR SEC SCHOOL,2778036,DELHI,CENTRAL DELHI,AJMERI GATE DELHI,110006,011,"232375556 ,",25551203,,arsd2127079@gmail.com,,1949,4/1/1991 12:00:00 AM,PIYUSH CHANDRA,2,"m.sc, m.ed",0,23,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,ATMA RAM TRUST
anglo arabic model school,2730668,DELHI,CENTRAL DELHI,"ajmeri gate, delhi.2",110006,011,"23210863 ,",23036879,23216755,aams96@gmail.com,,1996,4/18/1996 12:00:00 AM,FARAH SAJID,2,"m.a.(pol.sc.), b.ed.",10,11,Secondary School,Provisional,1/4/2014,31/3/2019,delhi education society
BHAI JOGA SINGH PUBLIC SCHOOL,2730145,DELHI,CENTRAL DELHI,"D 4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI",110005,011,"23611058 , 2517343",25410918,01334-260050,harinder183@yahoo.com,,1984,4/1/1997 12:00:00 AM,Harinder Pal Singh,0,"M.A.(Eng.),B.Ed.",07,18,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,BHAI JOGA SINGH TRUST
c l bhalla dayanand model school,2730250,DELHI,CENTRAL DELHI,"plot no 7 jhandewalan, DISTT CENTRAL DELHI, new delhi",110005,011,"23527644 , 27533812",25745731,,sharda.oberoi1811@gmail.com,,1981,7/9/2003 12:00:00 AM,SHARDA RANI,2,"m.a, b.ed",,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,pine crest school society
CHOWGULE PUBLIC SCHOOL,2730114,DELHI,CENTRAL DELHI,"D-4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI",110005,011,"23522370 , 23522370",22475064,54561,pooja.salpekar@gmail.com,,1957,7/9/2003 12:00:00 AM,POOJA SALPEKR,1,"M.SC., B.ED.",7,7,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,MARATHA MITRA MANDAL
CRESCENT SCHOOL,2730351,DELHI,CENTRAL DELHI,"ZEENATUL MASJID ANSARI ROAD DARYAGANJ, DISTT CENTRAL DELHI, NEW DELHI",110002,01275,"23279041 ,",,,srisaipublicschool_bajwalpur@rediffmail.com,crescentschooldaryaganj.com,1977,7/1/2003 12:00:00 AM,MRS T TLVI,0,ma lt,12,25,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,CRESCENT EDU SOCIETY
FAITH ACADEMY,2730054,DELHI,CENTRAL DELHI,"John L, Dorsey Road, PRASAD NAGAR NEW DELHI",110005,0,"25715784 , 25748208",25731135,5748208,mkanm2002@yahoo.co.in,,1964,,M KANNAN,0,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,CHRISTIAN EDU. SOCIETY
GOVT BOYS SR SEC SCHOOL(IIND SHIFT),2758030,DELHI,CENTRAL DELHI,NEW ROHTAK ROAD NEW DELHI,110005,011,"28711536 ,",9910619373,,gbsss2128006@gmail.com,,1931,4/1/1991 12:00:00 AM,SH SURAJ PRAKASH SILOKI,1,Post graduation,02,19,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,dir of education
GOVT COED SR. SEC. SCHOOL,2756139,DELHI,CENTRAL DELHI,SECTOR 1 POCKET 7 DABRI EXTN DWARKA NEW DELHI,110045,011,"25393322 ,",25633134,,skvsector1@gmail.com,,1999,4/1/1991 12:00:00 AM,SUNITA GAUR,2,M.A. (POL.SCIENCE) B.ED,5,27,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,DIR. OF EDUCATION
GOVT GIRLS SR SEC SCHOOL NO 4,2768027,DELHI,CENTRAL DELHI,PANAMA BLDG JAMA MASJID DELHI,110006,011,"23285632 ,",,,panamabuildingjm@gmail.com,,1947,4/1/1991 12:00:00 AM,UMA DEVI,2,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2017,DELHI ADMINISTRATION
govt sarvodaya boys sr sec school,2758016,DELHI,CENTRAL DELHI,(urdu medium) pataudi house daryaganj new delhi,110002,011,"23271170 ,",9312706078,,mumtazfaizi01@gmail.com,,1980,4/1/1991 12:00:00 AM,Mumtaz Ahmad,1,"m.a., m.ed",08,28,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,delhi administration
GOVT SARVODAYA GIRLS S S SCH NO-1,2768017,DELHI,CENTRAL DELHI,ZEENAT MAHAL KAMLA MARKET DELHI,110002,011,"23239205 ,",23326617,,2127014skv.1.zeenatmahal@gmail.com,,1970,4/1/1991 12:00:00 AM,SAROJ BALA,2,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,DELHI ADMINISTRATION
GOVT SARVODAYA GIRLS SR S.S. NO.2,2768026,DELHI,CENTRAL DELHI,JAMA MASJID PAIWALAN COMPLEX DELHI,110006,011,"23270010 ,",27013752,,rskv2jamamasjid2127017@yahoo.co.in,,1955,4/1/1991 12:00:00 AM,NEELAM SACHDEVA,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,govt
