Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
AL-NOOR INTERNATIONAL SCHOOL,5230004,FOREIGN SCHOOLS,bahrain,P.O. BOX 85 MANAMA BAHRAIN,,00973,"736773 ,",735650,735650,ganeshha@batelco.com.bh,,1993,4/1/2005 12:00:00 AM,PROF V KUNHABDULLAH,1,"m.a.,m.ed.",6,8,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,managing committee
Bahrain Indian School,5230007,FOREIGN SCHOOLS,bahrain,"P.O.Box 31595, Budhaiya Post Office, Bahrain",051595,2427,"97317598000 ,",,97314598080,hverma@bhavansbahrain.com,http://www.bhavansbahrain.com,2014,4/14/2014 12:00:00 AM,Mrs.Dr Heena Rachh,1,"M.A., M.Ed., Ph.D",10,25,Middle Class,Provisional,4/1/2017,31/3/2020,Bharatiya Vidya Bhavan
Bahrain Indian School,5230008,FOREIGN SCHOOLS,bahrain,"P.O.Box 31595, Budaiya Post office.",999999,,"97317598000 ,",,97317598080,hverma@bhavansbahrain.com,http://www.bhavansbahrain.com,2014,4/21/2014 12:00:00 AM,MRS. HEENA RACHH,1,"M.A (Eng), M.Ed",13,12,Secondary School,Provisional,1/4/2018,31/3/2021,Bahrain Indian School
IBN AL HYTHAM ISLAMIC SCHOOL,5230005,FOREIGN SCHOOLS,bahrain,PO BOX 11980 MANAMA BAHRAIN,,973,"17271694 , 270411",39736499,,haque7655@gmail.com,,1989,6/1/2002 12:00:00 AM,MOHAMMAD TAYYAB,1,Ph.D,8,12,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,I B N AL HYTHEM ISLAMIC SCHOOL
NEW MILLENNIUM SCHOOL,5230006,FOREIGN SCHOOLS,bahrain,AL AHLI CLUB COMPLEX ZINE P O BOX 26271 MANAMA KINGDOM OF BAHARAIN,,973,"17272700 ,",17244134,17275151,principal@nmsedu.bh,http://www.nms.edu.bh,1989,6/1/2002 12:00:00 AM,ARUN KUUMAR SHARMA,1,"M.Sc Physics, B.Ed",7,18,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,ARUN EDUCATION SOCIETY
The Asian School,5230002,FOREIGN SCHOOLS,bahrain,"p.o.box 1143, Umm Al Hassam, manama bahrain",110092,973,"17722886 , 728857",17725939,17720207,PRINCIPAL@ASIANSCHOOL.BH,,1983,7/9/2003 12:00:00 AM,MOLLY TREASA MAMMEN,2,"b.a., b.ed.",25,28,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,the asian educational dev. trust
THE INDIAN SCHOOL,5230001,FOREIGN SCHOOLS,bahrain,PO BOX 558 ISA TOWN STATE OF BAHRAIN ARABIAN GULF,,973,"17681457 , 681711",791429,682120,principal@indianschool.bh,,1950,4/1/1995 12:00:00 AM,V R PALANISWAY,1,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MANAGING COMMITTEE
THE NEW INDIAN SCHOOL,5230003,FOREIGN SCHOOLS,bahrain,P O BOX 33131 ISA TOWN BAHARAIN,110041,0973,"17622350 ,",9891581307,404052,vgprinci1955@gmail.com,,1990,4/1/2005 12:00:00 AM,V GOPALAN,2,"M.A.,M.Ed.",6,8,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,managing committee
INDIA INTERNATIONAL SCHOOL,5130001,FOREIGN SCHOOLS,BANGLADESH,119-B ROAD NO 2 DHANMANDI RES. AREA DHAKA - 5 (BANGLADESH),,,"8618302 ,",8618302,8613662,,,1981,,MRS KUMUBINI LAHIRI,2,,,,Middle Class,Provisional,1/5/1981,31/3/2007,HIGH COMMISSION INDIA
INDIAN NATIONAL SCHOOL,5530002,FOREIGN SCHOOLS,ETHIOPIA,PO BOX NO 21499 ADDIS ABABA ETHIOPIA C/O FIRST SECY EMBASSY OF INDIA ADDIS ABABA ETHIOPIA,,01250,"111158 ,",117066,025 11/551,skool.ms.chkd@apj.edu,http://www.apeejay.edu,1947,4/1/2005 12:00:00 AM,MURALI NAIR,1,"m.sc.,b.ed.,",15,10,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,BOARD OF TRUSTEES
