Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
Fr. Agnel Central School,2830008,GOA,GOA (NORTH),"Kantia Bhatt, Pilar Goa.",403203,,"0832-2217270 ,",,-,fragnel.pilar@gmail.com,http://www.fragnelcentralschool.com,2008,6/7/2008 12:00:00 AM,MR. FR. JOAQUIM ASSUMISAO PIO FURTADO,1,"MA, B.Ed",12,12,Secondary School,Provisional,1/4/2018,31/3/2021,Xavierian Educational Society
Green Meadows School,2830005,GOA,GOA (NORTH),"165/166, ARRIAS VADDO, NAGOA, BARDEZ, GOA",403518,0832,"2278842 ,",,,principal@greenmeadowsschool.in,http://www.greenmeadowsschool.com/,2008,6/7/2004 12:00:00 AM,KIRANJEET SODHI,0,"Bsc, B.ed",7,10,Secondary School,Provisional,1/4/2016,31/3/2019,Daleep Singh Education Trust
JAWAHAR NAVODAYA VIDYALAYA,2840002,GOA,GOA (NORTH),VALPOI NORTH GOA GOA,403506,0832,"2374228 ,",2374228,,sivanathanmy@gmail.com,,1988,3/31/2012 12:00:00 AM,SIVANATHAN M,1,"M.Com, M.Ed",15,25,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,2800002,GOA,GOA (NORTH),INS MANDOVI NAVAL BASE VEREM GOA GOA,403109,0832,"2402609 ,",217609,232411,parvez181158@gmail.com,http://www.prkv1ptblair,1982,4/1/1991 12:00:00 AM,PARVEZ ASLAM,1,m.scphysics b.ed,02,10,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2018,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,2800003,GOA,GOA (NORTH),BAMBOLIM CAMP PANAJI GOA,403201,0832,"2458783 ,",2458560,2458560,rameshdeopatil@gmail.com,http://www.kvbambolim.com,1984,1/25/2009 12:00:00 AM,PATIL R A,2,"M.A., DHE",4,17,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
sunshine wldwide secondary school,2830004,GOA,GOA (NORTH),"20/1-b, bainguinim, off nh4a bypass kadamba road, old goa, tiswadi, goa(nth)",403402,0832,"9850323818 ,",,8322783637,principal@sunshineschoolgoa.com,http://www.sunshineschoolgoa.com,2007,6/4/2007 12:00:00 AM,John Dinakaran,0,m.a. b.ed,5,14,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,sunshine educational trust
BHARATIYA VIDYA BHAVANS NARAYAN BANDEKAR SCHOOL,2830007,GOA,GOA (SOUTH),"Goa Housing Board Colony, Upasnagar, ZUARINAGAR, MURMUGOA",403726,0832,"2528233 ,",117066,,elizabethvalsan@rediffmail.com,,2007,3/23/2007 12:00:00 AM,Elizabeth Valsan,1,"M.A, B.Ed.",3,25,Secondary School,Provisional,1/4/2017,31/3/2019,BHARATIYA VIDYA BHAVAN GOA KENDRA
BLOOMZ INTERNATIONAL SCHOOL,2830009,GOA,GOA (SOUTH),"BAIDA,NUVEM,SALCETE,SOUTH GOA -403604 SOUTH GOA GOA ,GOA (SOUTH) , 403604",403604,4142,"08326570593 ,",,08322730372,BLOOMZ2005@GMAIL.COM,http://bloomzinternationalschool.com/,2005,6/10/2005 12:00:00 AM,-,1,"M.SC (BOTANY), B.ED",4,18,Secondary School,Provisional,1/4/2018,31/3/2021,BLOOMZ INTERNATIONAL EDUCATIONAL SOCIETY
JAWAHAR NAVODAYA VIDYALAYA,2840001,GOA,GOA (SOUTH),CANACONA SOUTH GOA GOA,403702,0832,"2633304 , 644181",643601,,kannansundaravel49@gmail.com,,1987,,S KANNAN,,,,,Senior Secondary,Provisional,1/4/2003,31/ 3/ 2018,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,2800004,GOA,GOA (SOUTH),PONDA GOA 403 401,403401,0832,"2312924 ,",0532-2580427,2580425,ashalata15@gmail.com,,1988,1/25/2009 12:00:00 AM,ASHALATA V GAONKAR,1,m.a. ph.d. m.ed.,09,29,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA NO.1,2800001,GOA,GOA (SOUTH),MANGOOR HILLS VASCO-DA-GAMA GOA,403802,0832,"2512776 ,",2531592,2532593,biru_munna14@gmail.com,www.kenvid1vasco.com,1971,4/1/1991 12:00:00 AM,R S INGLE,1,M.Sc. M.Ed.,16,33,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA NO.2,2800005,GOA,GOA (SOUTH),"AIRPORT ROAD, SHANTI NAGAR VASCO-DA-GAMA GOA",403802,0832,"2531060 ,",0832-2530332,,primerster@gmail.com,http://www.kv2vasco.com,1986,4/1/1991 12:00:00 AM,SAROJ KUJUR,1,"M.A., M.Ed, Phd",5,22,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2017,KENDRIYA VIDYALAYA SANGATHAN
LITERA PRIMARY ZEE SCHOOL,2830006,GOA,GOA (SOUTH),"BEHIND BITS PILANI, NH 17 BYPASS, ZUARINAGAR, VASCO, GOA",403726,0832,"27345671 ,",,,sandhya.v@mountlitera.com,http://www.mountliteragoa.com,2013,4/30/2013 12:00:00 AM,Sandhya Venkatesh,0,"MBA, BEd, BE",18,12,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Gyanmala Public Education Trust
