Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
ACADEMIC HEIGHTS PUBLIC SCHOOL,430326,GUJARAT,AHMEDABAD,"P.D PANDYA COLLEGE CAMPUS , PO:VATVA G.I.D.C , GHODASAR",382445,079,"65434424 ,",09824030986,07965434424,ahps5054@academicheights.in,http://newmeghdoot.co.in/,2011,6/17/2011 12:00:00 AM,CHETNA PATEL,0,M.A.Bed,5,8,Secondary School,Provisional,1/4/2018,31/3/2021,MEGHDOOT EDUCATION TRUST
ADANI VIDYA MANDIR,430132,GUJARAT,AHMEDABAD,"B/H ADANI CNG PUMP, OFF. S. G. HIGHWAY, MAKARBA",380051,079,"25557725 ,",260367,,principal@adanividyamandir.com,http://www.adanividyamandir.org,2008,6/12/2008 12:00:00 AM,Raji Jayaprasad,2,"M. A., B.ED.",1,11,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,"ADANI FOUNDATION, AHMEDABAD"
AIRPORT SCHOOL,430133,GUJARAT,AHMEDABAD,"AAI RESIDENTIAL QUARTERS, SARDARNAGAR",382475,079,"22864175 ,",,,shalinidhanwani@yahoo.com,,1977,6/8/1979 12:00:00 AM,SHALINI DHANWANI,0,"M.A., B.Ed.",8,31,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,AIRPORT SCHOOL ASSOCIATION
Amrita Vidyalayam,430104,GUJARAT,AHMEDABAD,"Plot No.83 Near Revamani Hall Janata nagar road Ghatlodia, Distt Ahmedabad, Gujarat",380061,079,"27452009 ,",,079-27452009,ammasuma@gmail.com,http://www.amritapuri.org,2003,6/2/2003 12:00:00 AM,UMA VENKITACHALAM,2,"M.A., M.Ed, M.Phil.",8,16,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Mata Amritanandamayi Math
ANAND NIKETAN BHADAJ,430341,GUJARAT,AHMEDABAD,"SCIENCE CITY, OFF S.P. RING ROAD, BHADAJ-RANCHHODPURA ROAD,",380060,91,"9737047667 ,",,,vaishali.parikh@anandniketan.org,http://www.anandniketan.org,2010,6/16/2013 12:00:00 AM,Vaishali Parikh,,"M.A, B.ed",5,7,Secondary School,Provisional,1/4/2017,31/3/2020,Manav Seva Sangh
APPLE GLOBAL SCHOOL,430296,GUJARAT,AHMEDABAD,"NO. 859 / 2 , VILLAGE : SANAND,",382210,,"9227620181 ,",,,info@appleglobal.in,http://www.appleglobal.in,1999,6/1/1999 12:00:00 AM,Mrs.H. M. ANNAPURNA SWAMY,,"B. A. , B. ED.",8,15,Secondary School,Provisional,1/4/2016,31/3/2019,MAHAVIR GLOBAL FOUNDATION
ARMY PUBLIC SCHOOL,480004,GUJARAT,AHMEDABAD,SHAHIBAGH C/O 11 INF.DIV C/O 56 APO AHMEDABAD CANTT. GUJARAT,380003,079,"22862543 ,",09825620181,,mon2809@gmail.com,,1992,4/1/2005 12:00:00 AM,Monica Ahluwalia,1,"B.A. , B.Ed",5,5,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2022,MINISTRY OF RAILWAY
ASIA ENGLISH SCHOOL,430260,GUJARAT,AHMEDABAD,ASIA CAMPUS DRIVE IN ROAD,380054,079,"26856447 ,",,,scariathomas66@gmail.com,http://www.asiaenglishschool.net,1965,6/14/1965 12:00:00 AM,SCARIA THOMAS,0,"M.A.,L.L.M.,M.B.A.,B.ED.",15,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,AHMEDABAD SOUTH INDIAN ASSOCIATION (ASIA) CHARITABLE TRUST
Calorx Public School,430202,GUJARAT,AHMEDABAD,"B/h. Shivanand Flats, K.K Nagar Road. Ghatlodia",380061,079,"27600932 ,",,,principal.cpsghatlodia@kalorex.org,http://www.calorx.org,2007,6/13/2007 12:00:00 AM,PAULY M L,0,"B.Ed, M.Ed",12,12,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Shakti Education Trust
CENTRAL ENGLISH SCHOOL,430025,GUJARAT,AHMEDABAD,RAM RAJYA NAGAR ODHAR AHMEDABAD GUJARAT,382415,079,"22873569 ,",,,mpodhav@yahoo.co.in,,,9/18/2017 12:00:00 AM,MUKESH PATEL,1,,,,Secondary School,Provisional,1/4/2004,31/3/2009,
Cosmos Castle International School,430140,GUJARAT,AHMEDABAD,"SURVEY NO. 598/1, RIGHT TURN TO MAKARBA CROSS ROADS, NEXT TO VRINDAVAN FARMS, OPP. YMCA CLUB, S G HIGHWAY",380058,079,"9327000520 ,",,079-26402664,priyanka.saxena@ccis.edu.in,,2006,6/19/2006 12:00:00 AM,PRIYANKA SAXENA,0,"M. A., B.Ed.",11,25,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Ramadulari Dhamsiram Chandravali Charitable Trust
"COSMOS CASTLE INTERNATIONAL SCHOOL, GREEN CAMPUS",430336,GUJARAT,AHMEDABAD,"GREEN CAMPUS, SURVEY NO. 684, GODHAVI, BOPAL, AHMEDABAD",382115,079,"9327000520 ,",,,diksha.dave@ccis.edu.in,http://cosmoscastleschool.com,2016,7/7/2016 12:00:00 AM,DIKSHA DAVE,,"M. SC., M. ED.",5,7,Secondary School,Provisional,1/4/2017,31/3/2020,RAMDULARI DHANSIRAM AGRASEN AGRASEN CHARITABLE TRUST
"D.A.V INTERNATIONAL SCHOOL, AHMEDABAD",430183,GUJARAT,AHMEDABAD,"Plot No.F.P. 3 & 6. T.P.S. No: 84B, Off Prahladnagar Corporate Road, Ahead of Vodafone Corporate House, Adj. Adani Vidya Mandir, Makarba, Ahmedabad",380051,079,"40125555 ,",,079 39815500,mind.nivedita@gmail.com,http://www.davahmedabad.net,2007,6/13/2007 12:00:00 AM,Nivedita Ganguli,0,"M.A(Sociology),B.Ed,PGDSLM",4,14,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2019,"D.A.V. College Trust & Management Society, New Delhi"
DELHI PUBLIC SCHOOL,430036,GUJARAT,AHMEDABAD,BOPAL NR. BOPAL AMBLI RLY CROSSING AHMEDABAD GUJARAT,380058,2717,"230521 ,",,,principal.dpsbopal@kalorex.org,www.snmsss.com,1967,4/6/2006 12:00:00 AM,SURENDER SACHDEVA,2,"M.Sc., B.ED.,",9,26,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DPS SOCEITY
Delhi Public School,430181,GUJARAT,AHMEDABAD,"Maninagar-Mehmdabad Road, Hirapur, Tal:Dascroi, Ahmedabad.",382435,91,"8155013337 ,",,,principal.dpseast@kalorex.org,http://www.calorxdpseast.com,2008,6/16/2008 12:00:00 AM,Hitesh Puri,0,Msc. B.Ed,8,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,calorx education & research foundation
Divya Jyot School,430367,GUJARAT,AHMEDABAD,"S.P.RING ROAD, BESIDE BOPAL-SHILAJ BRIDGE, NR.BOPAL CIRCLE",380059,,"7574811101 ,",,,info@divyajyotschool.org,http://www.divyajyotschool.org,2010,6/13/2010 12:00:00 AM,MRS. PRINCY NAIR,1,"M.A., B.Ed.",3,14,Secondary School,Provisional,1/4/2018,31/3/2021,Shantaba Education Trust
"Euro school,",430226,GUJARAT,AHMEDABAD,"Via Thaltej hebatpur village, Ahmedabad",380059,0,"9925292222 ,",09727757505,,gurinder.kaur@es03.euroschoolindia.com,http://www.euroschoolindia.com,2010,6/13/2010 12:00:00 AM,Gurinder Kaur,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,EUROSCHOOL EDUCATION TRUST
FIRDAUS AMRUT CENTRE SCHOOL,430174,GUJARAT,AHMEDABAD,"15 - Cantonment, Shahibaug, Ahmedabad - 3",380003,079,"22864145 ,",04828225470,079-22866501,facprincipal@yahoo.in,,1997,6/12/1997 12:00:00 AM,KIRTI SHARMA,1,"B. Sc., M.Ed",14,8,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,FIRDAUS MEMORIAL CHARITY & EDUCATION TRUST
GEMS GENESIS SCHOOL,430333,GUJARAT,AHMEDABAD,"KHODIYAR GAM, NEAR KHODIYAR MATA MANDIR, VAISHNODEVI CIRCLE, S.P. PATEL RING ROAD, AHMEDABAD",382421,079,"9274022333 ,",,,mdesai@theggis.com,http://www.theggis.com,2012,6/9/2012 12:00:00 AM,MINAL DESAI,,"M. SC., B. ED.",6,4,Secondary School,Provisional,1/4/2017,31/3/2020,SHUBH ASHISH FOUNDATION TRUST
GLOBAL INDIAN INTERNATIONAL SCHOOL,430300,GUJARAT,AHMEDABAD,"Global Indian International School, Godrej Garden City, PO ? Jagatpur, S.G. Highway. Ahmedabad, Gujarat.",382470,079,"09737077726, ,",,,naveen.pandey@globalindianschool.org,http://in.globalindianschool.org/Ahmedabad/,2014,4/9/2014 12:00:00 AM,MR. CAESAR FRANCIS DSILVA,1,BEd MBA,22,24,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,FIVE PILLAR EDUCATION TRUST
Global Mission School,430213,GUJARAT,AHMEDABAD,"SANSHAKARDHAM PO GODHAVI, TA-SANAD DISTT. AHMEDABAD.",372115,2717,"9824726663 ,",,02717-293145,principal@gmisschool.org,http://www.gmischool.org,2011,6/16/2011 12:00:00 AM,M P MURUGAN PILLAI,0,M.A. B.Ed.,15,7,Secondary School,Provisional,1/4/2016,31/3/2021,Laxman Gyanpeeth
I d p school,430201,GUJARAT,AHMEDABAD,"opp. motera village tal. daskoi, ahmedabad",382424,079,"27700951 ,",,07927700957,idpmotera@idpcampus.org,,2012,1/4/2012 12:00:00 AM,ABHA JHA,2,m. a. b. ed.,5,7,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,vip foundation
KENDRIYA VIDYALAYA,400031,GUJARAT,AHMEDABAD,IOC COLONY VIRAMGAM AHMEDABAD GUJARAT,382150,2715,"233072 ,",2671780,,dsingh.amd@gmail.com,,1987,4/1/1991 12:00:00 AM,DURGA SINGH,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2015,KENDRIYA VIDYALAYA SANGATHAN
