Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
D A V PUBLIC SCHOOL,630016,HIMACHAL PRADESH,BILASPUR,ACC GAGAL CEMENT WORKS BARMANA BILASPUR DISTT HIMACHAL PRADESH,174013,1978,"244065 ,",244080,244067,sweenpuri1957@gmail.com,,1984,7/22/2001 12:00:00 AM,SWEEN PURI,2,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,DAV COLLEGE MANAGING COMMITTEE
D A V PUBLIC SCHOOL,630051,HIMACHAL PRADESH,BILASPUR,BILASPUR HIMACHAL PRADESH,174001,1978,"224771 ,",,,kparthi@rediffmail.com,,2003,6/1/2005 12:00:00 AM,KPARTHIPAN,2,"B.A., LLB, B.Ed",10,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,little stars educational trust (r)
DAV PUBLIC SCHOOL,630086,HIMACHAL PRADESH,BILASPUR,GHUMARWIN DISTT BILASPUR HIMACHAL PRADESH,174021,1978,"255201 ,",255497,2458339,dav_ghumarwin@yahoo.com,http://www.pcsjammu.g,2003,6/2/2003 12:00:00 AM,VINOD SHARMA,2,m a b.ed,13,24,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DAV COLLEGE TRUST & MGMT SOC
JAWAHAR NAVODAYA VIDYALAYA,640009,HIMACHAL PRADESH,BILASPUR,KOTHIPURA DISTT BILASPUR HIMACHAL PRADESH,174001,1978,"280342 ,",86139,,surenderkbhat65@gmail.com,,1992,4/1/1991 12:00:00 AM,SURENDER KUMAR BHAT,1,M.A.,5,30,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,Navodaya Vidyalaya Samiti
JAYPEE VIDYA MANDIR PANCHTANTRA,630172,HIMACHAL PRADESH,BILASPUR,JAYPEE HIMACHAL CEMENT PLANT TOWNSHIP VILLAGE--SARAINGHAT DHAR TATOH P.O. DHAR TATOH TEHSIL--SADAR DISTRICT--BILASPUR HIMACHAL PRADESH,174001,1796,"223391 ,",,01796-223344,callanand003@gmail.com,http://www.jaypeeschools-jvmbaga.org,2011,4/5/2011 12:00:00 AM,ANAND DUBEY,0,M.A.M.PHIL. IN ENGLISH,02,08,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,JAIPRAKASH SEWA SANSTHAN
"kendriya vidyalaya,",600024,HIMACHAL PRADESH,BILASPUR,"ghumarwin, near shiv mandir, dist, bilaspur, himachal pradesh- 174 021",,,",",,,,,,7/2/2018 12:00:00 AM,.,0,,,,Secondary School,,Secondary School,,Secondary School
SHIV SHAKTI CONVENT SCHOOL,630242,HIMACHAL PRADESH,BILASPUR,VILLAGE KASAROO PO BADHAGHAT TEHSIL GHUMARWIN DISTT. BILASPUR H.P.,174029,,"9816069008 ,",,,sharawan23@gmail.com,http://shivshaktischool.co.in,2016,4/4/2016 12:00:00 AM,MRS. NIRMLA DEVI,1,M.A.B.Ed.,6,17,Secondary School,Provisional,1/4/2018,31/3/2021,PARVATI MARSANS EDUCATION AND COMMUNITY DEVELOPMENT SOCIETY KASAROO PO BADGAGHAT DISTT BILASPUR H P
SHIV SHAKTI CONVENT SCHOOL VILL KASARO P.O. BADHAGHAT TEHSIL GHUMARWIN,630227,HIMACHAL PRADESH,BILASPUR,"VILL. KASAROO P.O. BADHAGHAT TEHSIL GHUMARWIN DISTT, BILASPUR",174029,1978,"255922 ,",,,sscsk.info@gmail.com,http://shivshaktischool.co.in,2016,4/1/2016 12:00:00 AM,Nirmla Devi,,M.A. B.Ed.,3,15,Middle Class,Provisional,4/1/2017,31/3/2020,Parvati Marsans Education & Community Develompent Kasaroo
Shiva International school,630219,HIMACHAL PRADESH,BILASPUR,On kuthera super highway,174021,91,"9805092582 ,",,01978-256003,shilpa.doctor@gmail.com,http://internationalschoolshiva.com/,2015,4/9/2015 12:00:00 AM,Shilpa Goel,,Ph.D,03,02,Secondary School,Provisional,1/4/2017,31/3/2020,SHIVA EDUCATIONAL SOCIETY
B S P CENTRAL SCHOOL,630007,HIMACHAL PRADESH,CHAMBA,SURANGANI CHAMBA DISTT HIMACHAL PRADESH,176317,1896,"232004289 ,",9816503211,232301,vijaykumarsingh_nhpc@rediffmail.com,,1978,4/1/2005 12:00:00 AM,Kanwar Vijay Singh,1,M.Sc.;B.Ed;M.Phil,12,25,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,N H P C LTD A GOVT OF INDIA ENTER
