Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
A R S PUBLIC SCHOOL,3430192,JHARKHAND,BOKARO,B S L LH BOKARO STEEL CITY JHARKHAND,800018,6542,"09204780407 ,",,,biswajitpatra4869@rediffmail.com,,2005,7/1/2005 12:00:00 AM,BISWAJIT PATRA,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,A R S MEMORIAL EDUCATIONAL SOCIETY
ADARSH VIDYA MANDIR,3430089,JHARKHAND,BOKARO,BYE PASS ROAD CHAS BUS STAND BOKARO JHARKHAND,827013,6542,"265171 ,",06542265559,265559,cghosh1973@gmail.com,,1970,,CHINMOY GHOSH,1,"B.Ed., L.LB.",4,10,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,MARWARI PANCHAYAT CHAS BOKARO
BHARAT SINGH PUBLIC SCHOOL,3430058,JHARKHAND,BOKARO,PO BERMO DISTT BOKARO JHARKHAND,829104,6549,"222387 , 218",458,,bharatsinghpublicschoolbermo@gmail.com,,1981,8/12/2007 12:00:00 AM,DR MRIDUL RAKESH KUMAR SINGH,1,"B.Sc,B.Ed,M.A,MHR",12,21,Secondary School,Provisional,1/4/2013,31/3/2018,ACADEMY QUEST
BOKARO ISPAT SR SEC SCHOOL,3430059,JHARKHAND,BOKARO,SECTOR II C BOKARO STEEL CITY JHARKHAND,827001,6542,"286792 ,",,,rabindrajha70@gmail.com,,1974,7/15/1999 12:00:00 AM,Rabindra Jha,1,"M.A.Eng, Pol.Sc., B.T.",15,34,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT SR SEC SCHOOL,3430060,JHARKHAND,BOKARO,SECTOR III BOKARO STEEL CITY JHARKHAND,827003,6542,"266399 ,",9450021827,,BSLBISSS3@GMAIL.COM,,1966,1/14/2000 12:00:00 AM,PRAMOD KUMAR,1,M. Com. B. Ed.,05,18,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,BOKARO STEEL PLANT SAIL UNIT
bokaro ispat sr. sec. school,3430077,JHARKHAND,BOKARO,sect-viii b bokaro steel city jharkhand,827009,6542,"262004 ,",06542276029,,tarunkumarghosh43@gmail.com,,1984,7/1/2005 12:00:00 AM,Tarun Kumar Ghosh,1,m.a. b.ed.,15,20,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,bokaro steel plant
BOKARO ISPAT VIDYALAYA,3430078,JHARKHAND,BOKARO,SECTOR-II A P.O. BOKARO STEEL CITY JHARKHAND,827001,,"7814 ,",,0712-3271030,info@tccsngp.org,http://www.tccsngp.org,1992,6/1/2010 12:00:00 AM,SH. KASHI NATH GOSWAMI,0,"B.Sc.(PCM), M.Sc.(Chem), B.Ed., M.Ed.",5,8,Secondary School,Provisional,1/4/2009,31/3/2014,BOKARO STEEL PLANT
BOKARO ISPAT VIDYALAYA,3430079,JHARKHAND,BOKARO,SECTOR-VIII C BOKARO STEEL CITY JHARKHAND,827009,6542,"287788 ,",,,krishnakumaribsbv@gmail.com,,1992,6/2/2000 12:00:00 AM,DR K KUMARI,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT
BOKARO ISPAT VIDYALAYA,3430080,JHARKHAND,BOKARO,SECTOR-XI D BOKARO STEEL CITY JHARKHAND,827009,6542,"260262 ,",8986872677,,principalbiv11d@gmail.com,,1992,4/1/2002 12:00:00 AM,DEVENDRA PANDA,1,"M.Sc . Maths, B.Ed.",05,21,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,BOKARO STEEL PLANT.
bokaro ispat vidyalaya,3430081,JHARKHAND,BOKARO,sect-xii e bokaro steel city jharkhand,827012,6542,"81357 ,",3864,,biv12e@gmail.com,,1992,7/1/2005 12:00:00 AM,MANOJ KUMAR MISHRA,2,msc maths,11,20,Secondary School,Provisional,1/4/2014,31/3/2019,bokaro steel plant
BOKARO ISPAT VIDYALAYA,3430082,JHARKHAND,BOKARO,SECTOR-IX-C BOKARO STEEL CITY JHARKHAND,827009,6542,"240227 ,",3864,,dhirendrapsinha@gmail.com,,1992,7/1/2005 12:00:00 AM,DHIRENDRA PRASAD SINHA,2,MSC MATHS,11,20,Secondary School,Provisional,1/4/2014,31/3/2019,BOKARO STEEL PLANT
BOKARO ISPAT VIDYALAYA,3430083,JHARKHAND,BOKARO,SECTOR-IV A BOKARO STEEL PLANT JHARKHAND,827004,6542,"287788 ,",,,jks04051959@gmail.com,,1992,,JAINENDRA KUMAR SINGH,0,,,,Secondary School,Provisional,1/4/2014,31/3/2019,BOKARO STEEL PLANT
BOKARO ISPAT VIDYALAYA,3430061,JHARKHAND,BOKARO,SECTOR XII A BOKARO STEEL CITY JHARKHAND,827012,06542,"7814 ,",442823,,anpal@md3.vsnl.net.in,,1991,,MR M SANKARA NARAYANAN,0,,,,Secondary School,Provisional,1/4/2008,31/3/2013,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430062,JHARKHAND,BOKARO,SECTOR III A BOKARO STEEL CITY JHARKHAND,827003,6542,"287788 ,",,,biv3a.bsl.edu.in@gmail.com,,1991,,PRABHA M NAIR,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430064,JHARKHAND,BOKARO,SECTOR I C BOKARO STEEL CITY JHARKHAND,827001,0,"0 , 82049",,,keya.moyna@gmail.com,,1991,4/1/2002 12:00:00 AM,SUKANYA BANDOPADHYAY,1,"M.A.Hist.,B.L, B.Ed.",15,33,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430065,JHARKHAND,BOKARO,SECTOR IX D BOKARO STEEL CITY JHARKHAND,827009,6542,"287743 , 6751",,,usdwivedybiv3a@gmail.com,,1991,6/25/2009 12:00:00 AM,UDAY SHANKAR DWIVEDI,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430066,JHARKHAND,BOKARO,SECTOR VIII D BOKARO STEEL CITY JHARKHAND,827009,6542,"287742 , 7742",08986872646,,shekhar296@gmail.com,,1991,4/6/2003 12:00:00 AM,CHANDRA SHEKHAR AZAD,1,"M.A , B.Ed",15,32,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430067,JHARKHAND,BOKARO,SECTOR VI A BOKARO STEEL CITY JHARKHAND,827006,6542,"266399 , 82049",24640133,,biswaldp12@gmail.com,,1991,4/6/2003 12:00:00 AM,DURGA PRASAD BISWAL,2,M.A.B.Ed,16,25,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO ISPAT VIDYALAYA,3430063,JHARKHAND,BOKARO,SECTOR II D BOKARO STEEL CITY JHARKHAND,827001,6542,"220137 ,",,,skpandey2b@gmail.com,,1991,,SHASHI KANT PANDEY,0,,,,Secondary School,Provisional,1/4/2013,31/3/2018,BOKARO STEEL PLANT SAIL UNIT
BOKARO PUBLIC SCHOOL,3430197,JHARKHAND,BOKARO,SECTOR 3-C BOKARO STEEL CITY DISTT BOKARO JHARKHAND,827003,6452,"243195 , 243195",9334725101,245033,shekhar.sudha.01@gmail.com,http://www.bokaropublicsc,1988,7/1/2005 12:00:00 AM,SUDHA SHEKHAR,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,SAINIK SHIKSHA PRASAR SAMITI
brl dav public school,3430097,JHARKHAND,BOKARO,bhandaridah distt bokaro jharkhand,829132,6549,"239243 ,",06549239245,239243,hazra_ss1996@rediffmail.com,,1998,7/9/2003 12:00:00 AM,SHYAM SUNDAR HAZRA,1,"m.sc, m.ed",10,14,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,d a v college & managing committee
Carmel School Kargali,3430326,JHARKHAND,BOKARO,"Carmel School Kargali PO - Bermo, Dist - Bokaro, Jharkhand",829104,6549,"220596 ,",,,anjali98.chf@gmail.com,,1957,3/3/1957 12:00:00 AM,Jessy PC,,"M.A, B.Ed",7,14,Secondary School,Provisional,1/4/2016,31/3/2019,The Poreyahat Holy Family Society
Chinmaya Vidyalaya,3430013,JHARKHAND,BOKARO,sect v bokaro steel city bokaro jharkhand,827006,6542,"269609 , 7314","0654268943,268297",,principalcvbokaro@gmail.com,www.chinmayabokaro.co.in,1977,4/4/1976 12:00:00 AM,ASHOK SINGH,1,"M.Sc,M.Ed,Ph.D(Maths)",21,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,"central chinmaya mission trust,bby"
CRESCENT PUBLIC SCHOOL,3430189,JHARKHAND,BOKARO,SECT VI BOKARO STEEL CITY JHARKHAND,827006,6542,"268696 ,",256886,268696,anil.crescent@yahoo.com,,1970,6/5/2000 12:00:00 AM,Anil Kumar Gupta,1,"MA,M Phil, BEd",08,15,Senior Secondary,Provisional,1/4/2011,31/ 3/ 2016,GYANDEEP SHIKSHAN SANSTHAN
D A V PUBLIC SCHOOL,3430076,JHARKHAND,BOKARO,KATHARA C C L P O KATHARA DISTT BOKARO JHARKHAND,829116,6549,"235346 ,","06549(235588), 09931155304",,davkatharamk@gmail.com,,1989,7/1/2005 12:00:00 AM,DR MANOJ KUMAR,1,"M.Sc, Ph.D, B.Ed, FZSI, FAZ",16,"22, Experience as a Principal(10 Yrs)",Senior Secondary,Provisional,1/4/2009,31/ 3/ 2014,D A V COLLEGE MANAGING COMMITTEE ND
d a v public school,3430010,JHARKHAND,BOKARO,sect iv bokaro steel city bokaro distt jharkhand,827004,6542,"232034 , 272084",272084,,davbokaro@yahoo.co.in,,1973,4/1/2002 12:00:00 AM,ARUN KUMAR,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,dav college managing committee n d
D A V PUBLIC SCHOOL,3430029,JHARKHAND,BOKARO,CENTRAL COLONY DHORI P O PHUSRO BAZAR BOKARO DISTT JHARKHAND,829144,6549,"220249 ,",220528,220249,dav_dhori@yahoo.com,www.davdhori.com,1982,7/1/2004 12:00:00 AM,SATYENDRA KUMAR,1,M.A. B.ED,15,12,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,COAL INDIA LIMITED
D A V PUBLIC SCHOOL,3430094,JHARKHAND,BOKARO,P O SAWANG COLLIERY DISTT. BOKARO JHARKHAND,829128,6544,"261228 , 6228",6469,,dav.sawang@gmail.com,,1989,7/1/1994 12:00:00 AM,Achyuta Nand Routaray,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DAV COLLEGE MANAGING COMMITEE
"D.A.V. PUBLIC SCHOOL,SEC-VI",3430244,JHARKHAND,BOKARO,"D.A.V. PUBLIC SCHOOL SEC-VI, BOKARO STEEL CITY - 827 006 (JHARKHAND)",827006,6542,"068894 ,",,06542 276894,neelkamalsinha@gmail.com,,1993,4/1/1993 12:00:00 AM,NEELKAMAL SINHA,0,"B.Sc., B.Ed.",12,21,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,"DAV College Managing Comittee,New Delhi"
DAV PUBLIC SCHOOL,3430106,JHARKHAND,BOKARO,TENUGHAT THERMAL POWER STATION P.O.LALPANIA DISTT.BOKARO JHARKHAND,829149,0654,"4225453 ,",06544-225453,225453,jhaarun001@gmail.com,,1990,,ARUN KUMAR JHA,1,"M.Sc.Zoology,B.Ed.",20,25,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,D A V COLLEGE & MANAGING COMMITTEE
DAV PUBLIC SCHOOL,3430146,JHARKHAND,BOKARO,PO DUGDA DISTT BOKARO JHARKHAND,828404,6549,"244361 ,",742312,0591-2411864,davdugda@gmail.com,,2000,7/1/2005 12:00:00 AM,ANIL KUMAR PANDEY,0,b.sc. b.ed.,05,12,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DAV COLLEGE & MANAGING SOC DELHI
