Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
"B.L.D.E.ASSOCIATIONS PUBLIC SCHOOL, JAMKHANDI",830781,KARNATAKA,BAGALKOT,NEAR POLO GROUND BLDEA COLLEGE CAMPUS JAMKHANDI,587301,0835,"3222003 ,",,08353 220183,madhurijadhav5572@gmail.com,,2009,1/6/2009 12:00:00 AM,MADHURI JADHAV,,M. A. B. Ed,8,23,Secondary School,Provisional,1/4/2017,31/3/2020,B.L.D.E.Association Bijapur
Bapuji International School,830383,KARNATAKA,BAGALKOT,"Badagandi, Biligi Taluk, Bagalkot District.",587116,8425,"200064 ,",,08425-276065,principal@srpef.com,http://www.srpef.com,2010,7/5/2010 12:00:00 AM,LILIAN A SHAWN,0,"M.A.,B.Ed.",04,08,Secondary School,Provisional,1/4/2014,31/3/2019,S.R Patil Education Foundation
BASAVESHWARA INTERNATIONAL PUBLIC SCHOOL,830079,KARNATAKA,BAGALKOT,"BAGALKOT, KARNATAKA-587101",587101,8354,"233940 ,",,,chadarallisuresh@yahoo.com,,1985,6/3/2002 12:00:00 AM,C B SURESH HEDGE,2,"B.A., B.Ed.(Eng.), TTC",7,30,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,SH B V V SANGH BAGALKOT
Danigond Pre Primary & Primary School,830800,KARNATAKA,BAGALKOT,"Danigond Pre Primary & Primary School Terdal, Jamkhandi Taluk",587315,8353,"255676 ,",,,ratnasudev@gmail.com,,2003,4/23/2003 12:00:00 AM,NAGARATNA VASUDEV JOSHI,0,"M.Sc,B.Ed",20,20,Secondary School,Provisional,4/1/2017,31/3/2020,Sidramappa Danigond Memorial Trust
excellent public school,830387,KARNATAKA,BAGALKOT,"behind apmc, at. post lokapur, taluk mudhol",587122,8350,"9620088356 ,",,,principal.excellentpublicschool@yahoo.in,,2009,6/1/2009 12:00:00 AM,PRAKASH GANGADHAR SANGAI,0,"ma, b ed",6,25,Secondary School,Provisional,1/4/2014,31/3/2019,daneshwari shikshana samsthe
JAWAHAR NAVODAYA VIDYALAYA,840026,KARNATAKA,BAGALKOT,CHIRLAKOPPA BAGALKOT DISTT KARNATAKA,587155,8357,"236000 ,",824679363,,begpk54@gmail.com,,1995,3/31/2011 12:00:00 AM,B E G PRASANNA KUMAR,2,MA,4,15,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,NVS
K J SOMAIYA ENGLISH MEDIUM SCHOOL,830271,KARNATAKA,BAGALKOT,"SAMEERWAD, MUDHOL, BAGALKOT",587316,8350,"260138 ,",,-,principal.smrcbse@somaiya.edu,http://www.srivigneshvidyalaya.com,2006,6/1/2006 12:00:00 AM,C ANILKUMAR,0,"M.Sc., B.Ed.",2,7,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Sri Vignesh Educational Trust
K R Lakkam Memorial C.B.S.E School,830629,KARNATAKA,BAGALKOT,JUNJARAKOPPA BALLURA MUDHOL BAGALKOT KARNATAKA,587313,0835,"280248 ,",,,chandrashekar.shekar91@gmail.com,,2014,6/1/2014 12:00:00 AM,Chandrashekar V Kotte,1,M.Sc; B.Ed;,14,14,Secondary School,Provisional,1/4/2015,31/3/2018,Shri Kalmeshwar Charitable Trust (R) Mudhol
KENDRIYA VIDYALAYA,800036,KARNATAKA,BAGALKOT,"OLD GOVT. HIGH SCHOOL BUILDING, SHIGIKERI R.C., BADAMI ROAD, BAGALKOT, KARNATAKA",587111,8354,"200704 ,",26644686,,padmanabhanja@gmail.com,,1998,6/12/1992 12:00:00 AM,J ANANTHA PADMANABHAN,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,k v s
Lord Palace International Public School,830487,KARNATAKA,BAGALKOT,"Ingalgi, Mudhol, Bagalkot,",587313,0835,"8105034759 ,",,,chandrabosegreens@gmail.com,,2011,6/1/2012 12:00:00 AM,chandrabose MG,0,"M A, B Ed",11,16,Secondary School,Provisional,1/4/2016,31/3/2021,Vishweswar Vidyavardhak Society
"M.R. Ganiger International Public School,",830607,KARNATAKA,BAGALKOT,Neeralakeri Bagalkot -587111 Tq & Dist- Bagalkot,587111,8354,"9739544406 ,",,,ppl.mrgipsnlk@gmail.com,,2013,6/1/2013 12:00:00 AM,Rantanath Katageri,0,"B.Sc.,B.Ed",0,4,Secondary School,Provisional,1/4/2015,31/3/2018,M.R.Ganiger Shikshan Pratishthan
MARGADARSHAN CENTRAL SCHOOL.ILKAL,830475,KARNATAKA,BAGALKOT,"ILAKAL(TONDIHAL),GORABAL DIST. HUNGUND TALUK BAGALKOT",587125,8351,"272706 ,",,,metcbse123@gmail.com,,2007,6/13/2009 12:00:00 AM,SHOBHA G SALIMATH,0,"BA,BEd",10,10,Secondary School,Provisional,1/4/2016,31/3/2021,MARGADARSHAN EDUCATION TRUST
Mathoshri Basalingamma . N . Khot International School,830801,KARNATAKA,BAGALKOT,At Post Kundargi,587116,0360,"08425251486 ,",2266007,,matoshrischool@gmail.com,,1997,4/1/1997 12:00:00 AM,Mr.Jagadeesh V Marakachitti,1,"BA, B Ed",5,10,Middle Class,Provisional,4/1/2017,31/3/2020,Shri Ramalingeshwara vidyavardhaka sangha
Nehru International Public School,830596,KARNATAKA,BAGALKOT,"Badami Taluk, Bagalkot District.",587203,8537,"250229 ,",,,principalsuniljames@gmail.com,,2000,6/6/2013 12:00:00 AM,SUNIL NIRANJAN JAMES,0,"M.A.,B.Ed",10,10,Secondary School,Provisional,1/4/2018,31/3/2023,Sri Holehuccheshwara shikshana haagu Grameena abhivriddhi Samsthe
Padmavathi International School,830727,KARNATAKA,BAGALKOT,"Hosur, Jamkhandi Taluk, Bagalkot District, Karnataka-587314.",587314,8353,"8880469034 ,",,08353202622,basavaraj.kaladagi@gmail.com,http://www.padmavathiinternationalschool.org,2015,6/2/2014 12:00:00 AM,BASAVARAJ KALADAGI,,"M.A.,B.Ed",5,7,Secondary School,Provisional,1/4/2017,31/3/2020,Hajare Foundation
