Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
al ameen public school,930478,KERALA,ALAPPUZHA,"chandiro alappuzha distt., kerala",688547,478,"2871351 ,",,,yetheesasha@gmail.com,,1993,6/5/2000 0:00,ASHA YETHEES,0,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,al ameen educational trust
,,,,,,,,,,,,,,,,,,,,,,,
AL HUDA ENGLISH SCHOOL,930546,KERALA,ALAPPUZHA,NEERKUNNAM T D M C PO ALAPPUZHA DISTT KERALA,688005,477,"2283391 ,",30334,,noushadkayamkulam@gmail.com,,1995,4/4/2005 0:00,NOUSHAD A,2,"M.Sc. , B.Ed.",10,15,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,IDEAL WELFARE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
AL-AMEEN CENTRAL SCHOOL,930640,KERALA,ALAPPUZHA,KAKKAZHOM PO ALAPUZHA DISTT KERALA,688005,477,"2279881 ,",2282736,2644614,,http://www.suprabhat.ac,1994,4/1/2005 0:00,REKHA G,1,"B.Sc.,B.Ed.",2,21,Secondary School,Provisional,1/4/2015,31/3/2020,AL AMEEN EDUCATIONAL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
AL-EJABA CENTRAL SCHOOL,931275,KERALA,ALAPPUZHA,EJABA CAMPUS NEERKUNNAM A M C. P.O ALAPPUZHA,688005,477,"2283655 ,",,,alejabacentralschool@outlook.com,,2006,6/1/2006 0:00,SHAMEERA V S,0,MA BEd,8,15,Secondary School,Provisional,1/4/2017,31/3/2020,MASJIDUL EJABA MUSLIM JAMA-ATH
,,,,,,,,,,,,,,,,,,,,,,,
AMRITA VIDYALAYAM,930393,KERALA,ALAPPUZHA,TRIPPAKKUDAM MARIPPAD DISTT ALAPPUZHA KERALA,690514,479,"2415899 ,",2415899,,ammasdhanya999@gmail.com,,1994,6/13/2000 0:00,DHANYA D M,2,"M.A., B.Ed",7,3,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,MATA AMRITA NANDA MATH
,,,,,,,,,,,,,,,,,,,,,,,
ANGELS ARC ENGLISH MEDIUM SCHOOL,930177,KERALA,ALAPPUZHA,KALLUMMOODU KAYAMKULAM KAYAMKULAM ALAPUZHA,690502,479,"2448565 ,",2442417,,sobhanasnjv90@gmail.com,,1985,6/12/2002 0:00,SOBHANA S,2,.,10,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,CHRISTIAN EDN. CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
ARAVUKAD SREEDEN ENG MED SEC SCHOOL,930661,KERALA,ALAPPUZHA,PUNNAPRA PO ALAPUZHA DISTT KERALA,688004,477,"2288777 ,",4692600577,2600226,aravukad.sreedeviemss@ymail.com,,1995,4/1/2005 0:00,G RETNAMMA,1,M.Sc,7,34,Secondary School,Provisional,1/4/2015,31/3/2020,ARAVERKAD KSHETRAYOGAM
,,,,,,,,,,,,,,,,,,,,,,,
BELIEVERS CHURCH ENGLISH MEDIUM SCHOOL,930143,KERALA,ALAPPUZHA,"GURUPURAM AVALOOKUNNU PO P.O. ALLEPPEY, DISTT ALAPPUZHA KERALA",688006,477,"2258404 , 251082",242491,,aney008@gmail.com,,1989,4/1/2005 0:00,C V ISSAC,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,BELIEVERS CHURCH INDIA
,,,,,,,,,,,,,,,,,,,,,,,
BETHANY CENTRAL SCHOOL NANGIARKULANGARA,931027,KERALA,ALAPPUZHA,NANGIARKULANGARA PO HARIPAD,690513,479,"2416128 ,",,,agnetsrsic@gmail.com,,2006,6/1/2006 0:00,SR AGNET SIC,0,MA.B.Ed,5,12,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Society
,,,,,,,,,,,,,,,,,,,,,,,
BISHOP KURIALA CHEERY PUBLIC SCHOOL,930708,KERALA,ALAPPUZHA,CHAMAPAKULAM ALAPUZHA DISTT KERALA,688505,477,"2736258 ,",563305,,,,1999,6/12/2002 0:00,SR ELSAMMA JOSEPH,2,"M.Sc, B.Ed, M.B.A",2,7,Secondary School,Provisional,1/4/2015,31/3/2020,CHANTHAL EDU SCHOOL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
