Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
EKLAVYA MODEL RESIDENTIAL SCHIOOL,1020014,MADHYA PRADESH,ALIRAJPUR,"VILLAGE & SONDWA, TEH & DISTT. ALIRAJ PUR, MADHYA PRADESH",461111,0,"9009968973 ,",09425942964,,sdkhattali@yahoo.com,,,,Sunil Kumar Dubey,0,"M.SC.(PHY), M.ED",,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,
govt. eklavya model residential school,1020024,MADHYA PRADESH,ALIRAJPUR,"sejawada , block- chandra shekhar, azad nagar, dist. alirajpur- 457 882 (mp)",,,",",,,,,1994,10/26/2018 12:00:00 AM,.,0,,,,Secondary School,Provisional,1/4/2018,31/3/2020,kendriya vidyalaya sangathan
Anjad Public Higher Secondary School,1030357,MADHYA PRADESH,BADWANI,"Thikari Road, Anjar, Distt Badwani, Madhya Pradesh",451556,7284,"251185 ,",,07284-251185,mads.hnb@yahoo.com,,1994,7/1/1994 12:00:00 AM,MADHVI VERMA,1,"M.Sc.(Maths), B.Ed.",7,5,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Anjad Public School Society
EKLAVYA MODEL RESIDENTIAL SCHOOL,1020002,MADHYA PRADESH,BADWANI,TEHSIL BARBANI DISTT BARBANI MP,451551,7290,"222216 ,",224068,,emrs_brw@rediffmail.com,,1991,4/1/1991 12:00:00 AM,ASHA RAM MUJALDE,1,M.Sc. M.Ed.,04,16,Senior Secondary,Provisional,1/4/2006,31/ 3/ 2010,NAVODAYA VIDYALAYA SAMITI
eklavya model residential school,1020023,MADHYA PRADESH,BADWANI,"sendhwa (jamali) block-sendhwa, dist. barwani, madhya pradesh-451 666",,,",",,,,,1994,10/18/2018 12:00:00 AM,.,0,,,,Secondary School,Provisional,1/4/2018,31/3/2022,kendriya vidyalaya sangathan
Gurukul Public High School,1030567,MADHYA PRADESH,BADWANI,"Nr.Boys Hr.Sec.School KHETIA, PANSEMAL BARWANI MP",451881,0728,"6232500 ,",2185,,ramankakde72@gmail.com,,2003,7/1/2003 12:00:00 AM,Raman Kakde,1,M.Sc.(Physics) B.Ed.M.Phill,01,14,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Gurukul Public School Khetia
GURUKUL- The Real English Medium School,1030564,MADHYA PRADESH,BADWANI,"NEWALI ROAD, SENDHWA",451666,7281,"224331 ,",2471982,,dr.ashoksingh15@gmail.com,,2009,4/1/2010 12:00:00 AM,ASHOK KUMAR SINGH,1,"M.A., B.ED",6,12,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Gurukul Shikshan Samiti
JAWAHAR NAVODAYA VIDYALAYA,1040044,MADHYA PRADESH,BADWANI,"OZHAR, TQ. RAJPUR DISTT. BADWANI",451550,7284,"264200 ,",264450,,bhavnabarwani@gmail.com,,1993,3/31/2012 12:00:00 AM,BHAVNA SHELKE,1,,,,Senior Secondary,Provisional,1/4/2011,31/ 3/ 2013,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,1000084,MADHYA PRADESH,BADWANI,"BARWANI, MODEL SCHOOL CAMPUS, BARWANI, MADHYA PRADESH",451551,7290,"223888 ,",234235,,shraddha.2052@gmail.com,,1999,4/1/1991 12:00:00 AM,SHRADDHA JHA,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,K V S
LIONS CONVENT HIGHER SECONDARY SCHOOL,1030309,MADHYA PRADESH,BADWANI,NEAR CHOTI BIRASEN AGRA BOMBAY ROAD SENDHWA BADWANI MADHYA PRADESH,451665,7281,"2223330 , 224382",27674227,0712-2667586,meenu.mishra.accede@gmail.com,,2000,7/3/2000 12:00:00 AM,Meenu Nigam,2,m.sc. m.ed.,03,14,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,LIONS CHARITABLE SOCIETY
