Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
"Abhinav Education Societys Vasundhara Academy, Akole",1130637,MAHARASHTRA,AHMEDNAGAR,"Dhamangaon Awari Road, Akole",422601,2424,"221283 ,",,02424223458,sanjaybadhe1967@gmail.com,http://www.abhinavakole.org,2014,6/16/2014 12:00:00 AM,Sanjay Kashinath Badhe,0,"M.A., B.Ed.",1,16,Secondary School,Provisional,1/4/2017,31/3/2020,"Abhinav Education Society, Akole"
Amrutvahini International School,1130418,MAHARASHTRA,AHMEDNAGAR,"Amrutvahini International School Behind Maze Ghar Housing Society, Ghulewadi,Tal-Sangamner,Dist-Ahmednagar.",422608,2425,"259102 ,",,,amrutvahiniinternationalschool@gmail.com,,2011,4/1/2011 12:00:00 AM,Sethi Jaswinder Bhupinder,0,B.Sc. B.Ed,05,19,Secondary School,Provisional,1/4/2016,31/3/2021,Amrutvahini Sheti & Shikshan Vikas Sanstha
ARMY PUBLIC SCHOOL,1180007,MAHARASHTRA,AHMEDNAGAR,C/O ARMED CORPS CENTRE & SCHOOL AHMEDNAGAR MAHARASHTRA,414002,0241,"323881 ,",341411,03324602424,as3nagar@yahoo.com,,1982,7/3/2000 12:00:00 AM,MRS K TEJ PAUL,2,M.A. B.Ed,18,37,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2018,ARMY WELFARE EDUCATION SOCIETY DELH
"ATMA MALIK INTERNATIONAL SCHOOL, KOKAMTHAN",1130444,MAHARASHTRA,AHMEDNAGAR,VISHWATMAK JANGLI MAHARAJ ASHRAM TRUST KOKAMTHAN SHIRDI - KOPARGAON ROAD POST JEUR KUMBHARI TAL.- KOPARGAON DIST.- AHMEDNAGAR (MAHARASHTRA)- 423601,423601,2423,"7588694055 ,",,,atmacbse@gmail.com,http://www.atmamalikinternationalschool.in,1995,6/1/1995 12:00:00 AM,Namdev D Dange,0,MA B.Ed.,5,31,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,"VISHWATMAK JANGLI MAHARAJ ASHRAM TRUST,KOKAMTHAN"
DHRUV ACADEMY,1130187,MAHARASHTRA,AHMEDNAGAR,"MALPANI CAMPUS, DHANDHARPHAL, AKOLE ROAD, SANGAMNER, DISTT AHMEDNAGAR, MAHARASHTRA",422603,2425,"260005 ,",225003,09448780955,archanaghorpade21@gmail.com,http://www.yahoo.in,2003,5/28/2004 12:00:00 AM,ARCHANA UDAYSINH GHORPADE,2,"M.A.,B.Ed.,",30,30,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,Sangama Trust
DNYANESHWAR INTERNATIONAL SCHOOL,1130659,MAHARASHTRA,AHMEDNAGAR,"Bhanashiwra,Newasa Phata",414609,,"02427-252022 ,",,,disnewasa@gmail.com,http://www.disnewasa.org,2015,4/13/2015 12:00:00 AM,Mrs.Presanna Kumari AG,,MA History & English,11,28,Secondary School,Provisional,1/4/2017,31/3/2020,Sulochana Belhekar Samajil va Bahu Udeshiya Shikshan Sanstha
eklavya residential school,1120013,MAHARASHTRA,AHMEDNAGAR,"maveshi. tal. akole, dist- ahmednagar, maharashtra- 422 604",796901,,",",,,,,1992,10/24/2018 12:00:00 AM,.,0,,,,Secondary School,Provisional,1/4/2018,31/3/2020,navodaya vidyalaya samiti
Harmony International School,1130645,MAHARASHTRA,AHMEDNAGAR,"At Post-Vadgaongupta, Near Dental College, Pimplegaon Malvi Road",414111,0241,"08600003210 ,",,,bhat.nandita73@gmail.com,http://www.harmony-schools.com,2013,10/6/2013 12:00:00 AM,Nandita Bhat,,"M.A., B. Ed.",5,10,Secondary School,Provisional,1/4/2017,31/3/2020,Travancore Educational Trust
"Indus World School, Ahmednagar",1130346,MAHARASHTRA,AHMEDNAGAR,"Darewadi-Narayandoho Road, Near MIRC Green, Gat No.201, At Po. Nimbodi,",414001,0241,"2431718 ,",,0241-2431718,dhupar74@gmail.com,http://www.indusnagar.com,2009,6/14/2009 12:00:00 AM,ANTARPREET DHUPAR,0,"M.A. , B. Ed.",02,08,Secondary School,Provisional,1/4/2015,31/3/2020,"Swayyamsiddha Mahila Vikas & Prashikshan Sanstha,"
JAWAHAR NAVODAYA VIDYALAYA,1140021,MAHARASHTRA,AHMEDNAGAR,TAKLI DHOKESHWAR TAHSI-PARNER AHMEDNAGAR MAHARASHTRA,414304,2488,"282249 ,",82249,,sknallath@yahoo.co.in,,1988,4/1/1991 12:00:00 AM,SUNIL KUMAR NALLATH,1,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2021,NAVODAYA VIDYALAYA SAMITI
