Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
JAWAHAR NAVODAYA VIDYALAYA,1240006,MANIPUR,BISHNUPUR,LOKTAK DT- BISHUNPUR MANIPUR,795126,3879,"222100 ,",222100,222100,jnvbishnupur01@gmail.com,,1988,3/31/2011 12:00:00 AM,NINGTHOUJAM SAMARJIT SINGH,1,M.Sc.Chemistry B.Ed.,11,15,Senior Secondary,Provisional,1/4/2005,31/ 3/ 2010,NAVODAYA VIDYALAYA SAMITI
Assam Rifles Public School (High School) Pallel,1280004,MANIPUR,CHANDEL,"Care of HQ 26 Sec. Assam Rifles, PalleI Distt. Chandel, Manipur- 795 135",795135,3848,"265656 ,",9612350637,,arjhspallel@gmail.com,,1995,4/4/2005 12:00:00 AM,S MANIHAR MEITEI,1,"M.SC.,M.ED",,,Secondary School,Provisional,1/4/2016,31/3/2019,DIRECTORATE GENERAL OF ASSAM RIFLES
JAWAHAR NAVODAYA VIDYALAYA,1240004,MANIPUR,CHANDEL,LIWA KHULLEN SARAI CHANDEL MANIPUR,795127,91,"8131820192 ,",82012,,SBASAVARAJJNV@GMAIL.COM,,1988,4/1/1991 12:00:00 AM,S BASAVARAJ,1,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2017,NAVODAYA VIDYALAYA SAMITI
JAWAHAR NAVODAYA VIDYALAYA,1240002,MANIPUR,CHURACHANDPUR,CHURACHANDPUR TUINOM MANIPUR,795128,3874,"236884 ,",86139,,sanamachasalam@gmail.com,,1987,4/30/2014 12:00:00 AM,S SANAMACHA SINGH,2,m.a.,5,30,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2022,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,1200002,MANIPUR,CHURACHANDPUR,"H E PROJECT, VIDYUT VIHAR,KOM KEIRAP, LOKTAK MANIPUR",795124,0387,"9261208 ,",03879261208,3879261208,contact.solomon1302@gmail.com,http://www.kvnhpclok.org,1979,,M SOLOMON,1,M Com M Ed,5,20,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,1200005,MANIPUR,CHURACHANDPUR,BSF CAMPUS CHURACHANDPUR MANIPUR,795128,0361,"9402881383 ,",9402881383,,principalkvccpur@gmail.com,,1986,1/25/2009 12:00:00 AM,SNIGDHA ANAND,1,"M.A., B.ED.",2,15,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,KENDRIYA VIDYALAYA SANGATHAN
RAYBURN HIGH,1230041,MANIPUR,CHURACHANDPUR,"NEW LAMKA(H), P.O. BOX-32",795128,91,"9862243244 ,",,,khentombing@yahoo.com,http://www.rayburnhighschool.org,1994,4/13/1994 12:00:00 AM,KHEN P TOMBING,0,"M.A, M.Th",17,17,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2016,RAYBURN HIGH MANAGING BOARD
ST PAUL'S INSTITUTE,1230018,MANIPUR,CHURACHANDPUR,P O BOX NO 42 NEW LAMKA DISTT CHURACHANDPUR MANIPUR,795128,3874,"233584 , 235197",233584,,stpaulsinst@gmail.com,,2003,7/12/2005 12:00:00 AM,LIANKHOLAL SELDOU,2,M.Sc. B.Ed.,5,14,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,ST PAUL'S INSTITUTE
Alpha BCI Memorial Academy,1230042,MANIPUR,IMPHAL,THANGMEIBAND HIJAM DEWAN LEIKAI,795004,0385,"2415391 ,",2436125,,romilashija2016@gmail.com,http://www.albim.academy.com,1989,2/2/1998 12:00:00 AM,ROMILA SHIJA,0,B.Sc B.Ed,15,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Alpha BCI M. Academy
ARECA SCHOOL,1230039,MANIPUR,IMPHAL,"NEAR 2ND M.R., NORTH AOC",795107,0385,"2422857 ,",,0385-2422857,Hemmeiru21@gmail.com,,2006,2/17/2006 12:00:00 AM,Khanghemmeiru Gangmei,0,"M.A., B.Ed.",5,14,Secondary School,Provisional,1/4/2015,31/3/2020,ARECA FOUNDATION
