Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
jawahar navodaya vidyalaya,1340001,MEGHALAYA,EAST GARO HILLS,william nagar east garo hills meghalaya,794111,3658,"220370 ,",370,,krishnakumarmishra1973@gmail.com,,1987,4/30/2014 12:00:00 AM,KRISHNA KUMAR MISHRA,1,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2017,navodaya vidyalaya samiti
CMCL Vidya Bharati School,1330008,MEGHALAYA,east jaintia hills,"Cement Manufacturing Company Limited, Lumshnong Jaintia HIlls, Khliehriat, Meghalaya",793200,3655,"9862571258 ,",,03655278337,ramanadageophd@gmail.com,,2005,4/17/2005 12:00:00 AM,RAMANANDA GOSWAMI,2,M.A. B. Ed,5,7,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,LUMSHNONG VILLAGE LOCAL AREA WELFARE TRUST
JAWAHAR NAVODAYA VIDYALAYA,1340004,MEGHALAYA,east jaintia hills,"Mukhla, DT- JAYANTIA HILLS, P.O. THADLASKEIN, MEGHALAYA",793150,3652,"293371 ,",,,dixitsir@gmail.com,,1991,4/30/2014 12:00:00 AM,RAVINDRA KUMAR DIXIT,1,MA B.Ed.,1,6,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,NAVODAYA VIDYALAYA SAMITI
ARMY PUBLIC SCHOOL,1380001,MEGHALAYA,EAST KHASI HILLS,"SHILLONG CANTONMENT HEAD QRS 101 AREA C/O 99 APO, DISTT EAST KHASI HILLS, MEGHALAYA",793001,0364,"2560603 ,",09436116407(M),,rajeevanpuli@gmail.com,,1976,6/18/2007 12:00:00 AM,RAJEEVAN PULIYULLATHIL,1,"MA, B.Ed",10,20,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2021,ARMY WELFARE EDUCATION SOCIETY
Army PUBLIC School Happy Valley,1380003,MEGHALAYA,EAST KHASI HILLS,"Army School Happy Valley 58 Gorkha Training Centre Happy Valley Shillong, Meghalaya-793007",793007,0364,"2585166 ,",09862256297,0364-2585415,namita.gswm@gmail.com,,2000,7/1/2000 12:00:00 AM,Namita Goswami Thakur,2,"MA (Psychology), B Ed.",4,4,Secondary School,Provisional,1/4/2014,31/3/2022,Army Welfare Education Society
assam rifles public school,1380004,MEGHALAYA,EAST KHASI HILLS,"laitk shillong, east khasi hills meghalaya",793010,0385,"2427222 ,",,,principalarps@yahoo.com,,,,S K BANERJEE,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2022,
B K BAJORIA SCHOOL,1330003,MEGHALAYA,EAST KHASI HILLS,BOYCE ROAD SHILLONG MEGHALAYA,793001,0364,"2227919 ,",,,babianglinmajaw@gmail.com,,1975,7/4/2008 12:00:00 AM,Babianglin Majaw,1,,,,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2013,KAMAKHIYA LAL BHAJORIA CHAR.TRUST
b s f sr sec school,1330001,MEGHALAYA,EAST KHASI HILLS,umpling shillong meghalaya,793006,01762,"230412 , 230411",230411,,bbvcwa@yahoo.com,,1982,7/3/2000 12:00:00 AM,a h rizvi,2,m.a. bed,10,15,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,direct general b s f
JAWAHAR NAVODAYA VIDYALAYA,1340002,MEGHALAYA,EAST KHASI HILLS,NIYANGBARI EAST KHASI HILLS MEGHALAYA,793102,0363,"8290563 ,",50996,251260,JNVONGOLEKARIGASA@GMAIL.COM,,1986,3/31/2011 12:00:00 AM,k,1,"MA,BEd.",08,20,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2019,NVS
JAWAHAR NAVODAYA VIDYALAYA,1340008,MEGHALAYA,EAST KHASI HILLS,"MAWSYN RAM, DISTT. EAST KHASI HILLS-II, MEGHALAYA",793113,0091,"7424068849 ,",09856157149,,manojkulshrestha5@gmail.com,,2007,6/18/2007 12:00:00 AM,MANOJ KULSHRESTHA,1,,,,Secondary School,Provisional,1/4/2017,31/3/2020,Navodaya Vidyalaya Samiti
JAWAHAR NAVODAYA VIDYALAYA,1340007,MEGHALAYA,EAST KHASI HILLS,"MAWPHLONG, EAST KHASI HILLS(1), DISTT. MEGHALAYA- 793121",793121,0364,"2567657 ,",9436998029,,vijai.bajpai@yahoo.co.in,eastkhasihills.jawaharnavodayavidyalaya.in,1993,4/30/2014 12:00:00 AM,VIJAI KR BAJPAI,1,"M.Sc, B.Ed",3 years,17 years,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2021,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,1300002,MEGHALAYA,EAST KHASI HILLS,HAPPY VALLEY SHILLONG MEGHALAYA,793007,0364,"2535737 ,",03879261208,3879261208,principalkvhv@gmail.com,http://www.kvnhpclok.org,1976,7/3/2000 12:00:00 AM,DEVENDRA KUMAR DERAN,1,M Com M Ed,5,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,1300003,MEGHALAYA,EAST KHASI HILLS,EASTERN AIR COMMAND NONGLYER UPPER SHILLONG SHILLONG MEGHALAYA,793009,0364,"2560973 ,",24531,3879261208,mon.chettri@gmail.com,http://www.kvnhpclok.g,1966,7/3/2000 12:00:00 AM,MON BAHADUR CHETTRI,1,m com m ed,5,20,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2012,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,1300004,MEGHALAYA,EAST KHASI HILLS,N E H U PERMANENT CAMPUS UMSHING SHILLONG MEGHALAYA,793022,0364,"2550004 ,",0364-2550004,,lpsah2008@rediffmail.com,http://www.kvnehu.org,1985,7/3/2000 12:00:00 AM,LALIT PRASAD SAH,1,"M.Sc , M.Ed.",10,25,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2024,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,1300005,MEGHALAYA,EAST KHASI HILLS,LAITKOR PEAK SHILLONG MEGHALAYA,793010,0364,"2261029 , 227671",,,skve40@gmail.com,,1985,4/1/1991 12:00:00 AM,SURENDRA KUMAR VERMA,1,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
ARMY PUBLIC SCHOOL,1380002,MEGHALAYA,RI-BHOI,UMROI MILITARY STATION MEGHALAYA,793103,0364,"2560603 ,",09436116407(M),,armyschoolmumbai@gmail.com,,1976,6/18/2007 12:00:00 AM,RAJEEVAN P,1,"MA, B.Ed",10,20,Secondary School,Provisional,1/4/2003,31/3/2006,ARMY WELFARE EDU SOC
Christ School,1330007,MEGHALAYA,RI-BHOI,"Christ School Nongsder, Umiam P.O., Barapani, Meghalaya",793103,0364,"2570035 ,",220751,,christshillong@gmail.com,,2007,4/2/2007 12:00:00 AM,C VARGHESE,1,"M.A., B.Ed, M.Phil, Ph.D",28,33,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,TAPC
Delhi Public School Khanapara,1330011,MEGHALAYA,RI-BHOI,"Kling Road, 9th Mile, Opp CRPF Gate Camp, Baridua, Meghalaya-793101",793101,91,"8811043343 ,",,,principal@dpspkhanapara.com,http://www.dpskhanapara.com,2015,4/22/2015 12:00:00 AM,MALVIKA BHATT,,MSc BEd,1,27,Secondary School,Provisional,1/4/2017,31/3/2020,Gyan Jyoti Education Foundation
KENDRIYA VIDYALAYA,1300007,MEGHALAYA,RI-BHOI,"UMROI CANTONMENT BARAPANI, RI-BHOI DISTT, MEGHALAYA",793103,0364,"2577233 ,",73-279,223855,principalkvuc@rediffmail.com,http://www.kvparadip.org,1988,4/1/1991 12:00:00 AM,S K L VARNWALL,1,M.Sc. M.Ed,07,24,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,1300006,MEGHALAYA,RI-BHOI,NEPA BARAPANI MEGHALAYA,793123,0364,"2512056 ,",03642572056,,radhacharankvm@gmail.com,http://www.kvnepabarapani,1987,1/25/2009 12:00:00 AM,RADHA CHARAN,1,"M.A., D.Phil",1,15,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
