Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
ARMY PUBLIC SCHOOL,1480001,NAGALAND,DIMAPUR,RANGAPAHAR MILITARY STATION DIMAPUR NAGALAND,791123,03862,"245231 , 245232",25100428,5404140,uchpneps@hotmail.com,,1977,7/1/2000 12:00:00 AM,MRS SASMITA SAI PATHY,2,"M.Sc., BEd., M.Phil",5,14,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,ARMY WELFARE EDU SOCIETY
"Assam Rifles Public School (High),",1480004,NAGALAND,DIMAPUR,"Medziphema, 9 Assam Rifles, C/o 99 APO Distt. Dimapur, Nagaland-797106",797106,0386,"2247001 ,",09862256297,0364-2585415,ARSMEDZIPHEMA@GMAIL.COM,,1972,7/1/2000 12:00:00 AM,UMESH PRASAD UPADHAYAY,2,"MA (Psychology), B Ed.",4,4,Secondary School,Provisional,1/4/2014,31/3/2022,assam rifles
assam rifles training centre high,1480007,NAGALAND,DIMAPUR,school artc&s 3rd mile dimapur nagaland,795115,3862,"243147 ,",,,artcschool@gmail.com,,,,AOKUMLA LONGCHAR,0,,,,Secondary School,Provisional,1/4/2009,31/3/2011,
Charis High Academy,1430017,NAGALAND,DIMAPUR,"Ward-3,Chumukedima,Near UCO Bank",797103,3862,"240344 ,",,,sarojkumarnayak@yahoo.in,,2014,4/2/2014 12:00:00 AM,SAROJ KUMAR NAYAK,2,M.A(History)/Bed,8,13,Secondary School,Provisional,1/4/2019,31/3/2020,Charis Educational Society
DELHI PUBLIC SCHOOL,1430008,NAGALAND,DIMAPUR,2 1/2 MILE DAROGAPATHAR DIMAPUR NAGALAND,797115,3862,"235930 ,",,,ennbeekay@rediffmail.com,,1991,4/1/1991 12:00:00 AM,BHASKAR KUMAR NANDA,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DELHI PUBLIC SCHOOL SOC
DMI ST. JOSEPH GLOBAL SCHOOL,1430018,NAGALAND,DIMAPUR,"414, VIRGIN TOWN, IKISHE VILLAGE,",797112,,"9444390736 ,",,,dmistjosephglobaldmv@gmail.com,,2015,6/3/2015 12:00:00 AM,Miss KANIKKAIMARY,,"M.A., B.ED.,",5,5,Middle Class,Provisional,4/1/2017,31/3/2020,DMI FOUNDATION
hollotoli school,1430012,NAGALAND,DIMAPUR,"n.h. 39, padampukhiri, purana bazar",797116,3862,"234175 ,",2545951,03862234171,suparna1720@gmail.com,,2006,4/4/2006 12:00:00 AM,SUPARNA ROY CHOUDHURY,2,"m.a., B.ed.",0,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,holo education society
HOPE ACADEMY,1430019,NAGALAND,DIMAPUR,"SEITHEKE BASA VILLAGE, DIMAPUR",797115,,"03862248036 ,",,,hopeacedemy@gmail.com,http://www.hopeacademydimapur.com,2007,1/16/2007 12:00:00 AM,MRS. SASHIZUNGLA AO,1,M.A. B.ED,10,10,Secondary School,Provisional,1/4/2018,31/3/2021,WHITE HOPE EDUCATION SOCIETY
JAWAHAR NAVODAYA VIDYALAYA,1440008,NAGALAND,DIMAPUR,"NIHOKHU, DIMAPUR, NAGALAND",797103,03862,"284711 ,",,,thestudyschool@gmail.com,,1984,6/24/2006 12:00:00 AM,M NANDAGOPAL,1,"MSc., MEd.",2,14,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2020,NVS
KENDRIYA VIDYALAYA,1400005,NAGALAND,DIMAPUR,RANGAPAHAR CANTT. HQ 3 CORPS 939 (FPO) C/O 99 APO DIMAPUR NAGALAND,795113,3862,"249146 ,",03862-249458,,yrprasad200@gmail.com,http://kvrangapahar.org,1992,6/24/2006 12:00:00 AM,Y RAMA PRASAD,1,"MA, B. Ed.",04,20,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2013,KENDRIYA VIDYALAYA SANGATHAN
kendriya vidyalaya,1400002,NAGALAND,DIMAPUR,"project sewak c/o 99 apo, dimapur, nagaland",900800,0386,"245919 , 3261P&T",245902,225050,chandra.umesh377@gmail.com,http://www.kvdimapur.g,1983,4/1/1991 12:00:00 AM,UMESH CHANDRA,1,"ma economics, b. ed.",10,10,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2018,kendriya vidyalaya sangathan
LITTLE FLOWER SCHOOL,1480003,NAGALAND,DIMAPUR,24 ASSAM RIFLES C/O 99 APO NAGALAND,797112,0712,"0364-2585166 ,",09862256297,0364-2585415,armyschoolhappyschool@gmail.com,,1972,7/1/2000 12:00:00 AM,SH M N YESHODHARAU,2,"MA (Psychology), B Ed.",4,4,Secondary School,Provisional,1/4/2019,31/3/2020,ASSAM RIFLES
Livingstone Foundation Higher Secondary School,1430014,NAGALAND,DIMAPUR,Thahekhu/ Kevijau,797112,3862,"244203 ,",,03862-245553,andrewahoto@gmail.com,,1988,1/21/1988 12:00:00 AM,ANDREW AHOTO SEMA,0,"M.A., B.Ed.",14,25,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,LIVINGSTONE FOUNDATION
MAPLE TREE SCHOOL,1430015,NAGALAND,DIMAPUR,"208, KASHIRAM RANGAPAHAR CANTONMENT ROAD DIMAPUR NAGALAND",797112,3862,"248322 ,",,,imsutola_lkr@rediffmail.com,http://www.mapletreeschool.in/,2011,4/6/2011 12:00:00 AM,IMSUTOLA LONGKUMER,0,B.Ed ; M.A History,6,14,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Benchmark Education Initiative
Jawahar Navodaya Vidyalaya,1440010,NAGALAND,KIPHIRE,"KIPHIRE, NAGALAND",798611,03862,"284711 ,",,,thestudyschool@gmail.com,,1984,6/24/2006 12:00:00 AM,MR BALWANT JODH,1,"msc., med.",2,14,Secondary School,Provisional,1/4/2009,31/3/2011,nvs
ASSAM RIFLES SCHOOL,1430005,NAGALAND,KOHIMA,C/O 99 APO KOHIMA NAGALAND,797001,0370,"2299152 ,",9612164253,,ruchikasharma1@yahoo.co.in,,1960,7/9/2003 12:00:00 AM,RUCHIKA SHARMA,2,"B.Sc Hons,MAEng BEd",2,14,Secondary School,Provisional,1/4/2017,31/3/2022,ASSAM RIFLES SCHOOL
G Rio School,1430016,NAGALAND,KOHIMA,"PoB 702, High School Area, Kohima",797001,0370,"2806075 ,",,,temw@rediffmail.com,,2005,2/10/2006 12:00:00 AM,Temsu Waten,2,"B.Sc, B.Ed, M.A.J.M",10,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,G Rio Foundation
JAWAHAR NAVODAYA VIDYALAYA,1440001,NAGALAND,KOHIMA,YAKUKIE P B NO 172 KOHIMA NAGALAND,797001,0370,"2801512 ,",9856157149,,kapfokewe@gmail.com,,1987,4/1/1991 12:00:00 AM,Kewelhilo Kapfo,2,M.A. B.ED. M.PHIL,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,1400006,NAGALAND,KOHIMA,CRPF CAMP LERIE HILL KOHIMA NAGALAND,797001,0370,"2801550 ,",,,Santoshroy0204@gmail.com,,1978,4/1/1991 12:00:00 AM,Santosh Kumar Roy,0,,,,Secondary School,Provisional,1/4/2017,31/3/2020,kendriya vidyalaya sangathan
KENDRIYA VIDYALAYA,1400004,NAGALAND,KOHIMA,"ZAKHAMA STN. HQRS. ZAKHAMA C/O 1764 FPO C/O 99 APO, DISTT. KOHIMA, NAGALAND",797125,0370,"2231082 ,",03702233045,0370223304,zakhama1896@gmail.com,http://www.kvzakhama.com,1988,6/24/2006 12:00:00 AM,KAVI JHARWAL,1,"M.A.Eco,B.Ed.",01,01,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
JAWAHAR NAVODAYA VIDYALAYA,1440011,NAGALAND,LONGLENG,"TANGHA VILLAGE, DISTT & P.O. LONGLENG, NAGALAND",798625,0369,"2542268 ,",,,jnvlongleng@gmail.com,,1986,4/1/1991 12:00:00 AM,PREETAM SINGH,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2018,DIR. OF EDUCATION
ASSAM RIFLES SCHOOL,1480005,NAGALAND,MOKOKCHUNG,"MOKOKCHUNG, NAGALAND",797106,0369,"2225162 ,",+919612006438,,arhs32510@gmail.com,,1972,7/1/2000 12:00:00 AM,Mr. N D Roy,1,,5,26,Secondary School,Provisional,1/4/2011,31/3/2016,ASSAM RIFLES SCHOOL & WELFARE SOC
JAWAHAR NAVODAYA VIDYALAYA,1440005,NAGALAND,MOKOKCHUNG,"Longnak, PO. Mangkolemba, BPO Longnak(Near Petrol Pump), Mokokchung District, Nagaland- 798 604",798617,0369,"2228339 ,",07685200080,0768525631,jnvmkch@gmail.com,,1988,6/24/2006 12:00:00 AM,TIKENDRA GOGOI,1,"M A,M.ED.",2,14,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,NVS
JAWAHAR NAVODAYA VIDYALAYA,1440009,NAGALAND,MOKOKCHUNG,LUMAMI ZUNHEDOTO P O MOKAKCHUNG BOX NO.12 NAGALAND UNIVERSITY LUMANI,798601,0369,"2218268 ,",,,kanchhiprasadbhaskar@ymail.com,,1993,9/19/2017 12:00:00 AM,P K BHASKAR,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2018,Navodaya Vidyalaya Samiti
KENDRIYA VIDYALAYA,1400001,NAGALAND,MOKOKCHUNG,PAPER NAGAR TULI NAGALAND,798623,3862,"271287 ,",,,pandeybarrister@gmail.com,,1978,4/30/2014 12:00:00 AM,BARRISTER PANDEY,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
assam rifles high school,1480009,NAGALAND,MON,po naginima distt mon nagaland,,3869,"272272 ,",,,newarhsnaginimora@gmail.com,,,,ANITA NEGI,0,,,,Secondary School,,Secondary School,,Secondary School
JAWAHAR NAVODAYA VIDYALAYA,1440006,NAGALAND,MON,"WAKCHING P.O, DISTT MON NAGALAND",798621,0386,"221381 ,",28710,,amarsonsankhil66@gmail.com,,1992,3/31/2011 12:00:00 AM,AMARSON SANKHIL,1,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2021,Navodaya Vidyalaya Samiti
JAWAHAR NAVODAYA VIDYALAYA,1440007,NAGALAND,PEREN,"JALUKIE-B, PEREN, NAGALAND",797110,3862,"9436265845 ,",28710,,suryasandhya@yahoo.co.in,,1992,3/31/2011 12:00:00 AM,SURESH P M,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Navodaya Vidyalaya Samiti
Sainik School,1480002,NAGALAND,PEREN,"Punglwa P.O., Peren District",797106,011,"03862289216 ,",22222704,22471516,sainikpunglwa@yahoo.co.in,http://www.mpsipextn.com,1976,,COL. BS RATHORE,2,M.A B.Ed,24,24,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2015,
ASSAM RIFLES MIDDLE SCHOOL,1430010,NAGALAND,PHEK,PHEK NAGALAND,211008,0532,"2697029 ,",09447453034,228422,allsaints_public_school@yahoo.com,,1994,,SH G C PRAKASH,2,"M.A., B.Ed.",10,25,Secondary School,Provisional,1/4/2008,31/3/2013,ASSAM RIFLES
JAWAHAR NAVODAYA VIDYALAYA,1440004,NAGALAND,PHEK,PHEK ZUKETSA VIL- FUTSERO DT - PHEK NAGALAND,797107,0386,"22297 ,",9856157149,,golmei1972@gmail.com,,1995,3/31/2012 12:00:00 AM,Ellore Golmei,1,m.a. b.ed. m.phil,,,Secondary School,Provisional,1/4/2017,31/3/2018,Navodaya Vidyalaya Samiti
assam rifles school,1480008,NAGALAND,TUENSANG,tuensang 4 assam rifles c/o 99 apo,798612,,",",,,www.bharatmataschool@gmail.com,,1970,7/9/2003 12:00:00 AM,-,0,,,,Secondary School,Provisional,1/4/2015,31/3/2020,board of governs sainik schools
JAWAHAR NAVODAYA VIDYALAYA,1440003,NAGALAND,TUENSANG,B P O CHARE VIA- MOKOKCHUNG DT - TUENSANG NAGALAND,798601,0369,"2270206 ,",9856157149,,nirdoshborkar@gmail.com,,1994,3/31/2012 12:00:00 AM,N N BORKAR,2,M.A. B.ED. M.PHIL,,,Secondary School,Provisional,1/4/2018,31/3/2020,Navodaya Vidyalaya Samiti
JAWAHAR NAVODAYA VIDYALAYA,1440002,NAGALAND,WOKHA,PO- CHUKITONG DT- WOKHA NAGALAND,798631,3860,"9856279277 ,",,,ndhirensingh12@gmail.com,,1991,4/30/2014 12:00:00 AM,NAOREM DHIREN SINGH,1,MA B.Ed.,1,6,Secondary School,Provisional,1/4/2018,31/3/2021,NAVODAYA VIDYALAYA SAMITI
