Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
Aathmalayaa Middle School,2930008,PUDUCHERRY,KARAIKAL,"Aathmalayaa Nagar, School Road, Keezhzkasakudi, Karaikal - 609609.",609609,4368,"265266 ,",5269807,,principal@aathmalayaa.in,,2004,6/9/2004 12:00:00 AM,LAYAVARJITHA S,1,"M.Phil., B.Ed.",3,7,Secondary School,Provisional,1/4/2012,31/3/2015,Aathmalayaa Educational Public Trust
Bright Academy,2930019,PUDUCHERRY,KARAIKAL,126 PRN nagar Vettaikaran st,609605,4368,"231667 ,",,,mohanasarvesh60@gmail.com,http://www.brightacademykaraikal.com,2007,6/18/2007 12:00:00 AM,Mohana vidyavathi,,"B.sc., M.A.,B.Ed",20,10,Secondary School,Provisional,1/4/2017,31/3/2020,P.S. Arunachala Trust
CAUVERY PUBLIC SCHOOL,2930003,PUDUCHERRY,KARAIKAL,"NAGORE MAIN ROAD, NERAVY, KARAIKAL",609602,4368,"221616 ,",0385-2427222,0385-24272,biology85@gmail.com,,1985,6/1/2005 12:00:00 AM,B SIVAKUMAR,1,M.Sc. B.Ed,5,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,ASSAM RIFLES
Good Shepherd English School,2930006,PUDUCHERRY,KARAIKAL,"No.15, Melakasakudy, Nedungadu Commune, Karaikal.",609603,4368,"292629 ,",2525555,04368-227686,jjjjoythomas@gmail.com,http://www.gseschool.org,2001,6/11/2001 12:00:00 AM,JOY JOSEPHINE,2,"M.A.,M.Phil.,B.Ed.,B.R.Sc.,",8,11,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,Gnana Bella Educational Trust
JAWAHAR NAVODAYA VIDYALAYA,2940002,PUDUCHERRY,KARAIKAL,BHARATHIAR ROAD VARICHIKUDI P.O VARICHIKUDI POST KARAIKKAL PONDICHERRY,609609,4368,"265406 ,",266213,266213,phmjoy@gmail.com,http://www.jnvkaraikal.go,1988,3/31/2012 12:00:00 AM,HELEN MARY P,2,"M.Sc., M.Ed.,",12,20,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2021,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,2900004,PUDUCHERRY,KARAIKAL,"AGRAHARAM STREET, KOVIL PATHU, DISTT. KARAIKAL, PUDUCHERRY",609602,4368,"238955 ,",09442525283,,seenivp62@gmail.com,,1974,1/25/2009 12:00:00 AM,Seenivasan,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2023,kendriya vidyalaya sangathan
Mahalashmi School,2930009,PUDUCHERRY,KARAIKAL,"No. 1, Karikal Main Road, Keezhavahjore",611002,,"9677013157 ,",,04423631414,mahalashmi1315@gmail.com,,2008,6/16/2008 12:00:00 AM,Mr.K. Srinivasan,0,M.A.History M.Ed.,6,25,Secondary School,Provisional,1/4/2016,31/3/2019,Mahalashmi Kunjithapatham Educational & charitable Trust
ONGC PUBLIC SCHOOL,2930001,PUDUCHERRY,KARAIKAL,NERAVY KARAI KAL PONDICHERRY,609604,4368,"238577 , 238578",9444588525,,principalongcps@gmail.com,www.ongcpublicschool.org,2000,6/19/2000 12:00:00 AM,N SWAMINATHAN,1,"M.Sc.,(Physics), B.Ed., M.Phil., PGDCA",10,17,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,ONGC EDN SOCIETY
JAWAHAR NAVODAYA VIDYALAYA,2940003,PUDUCHERRY,MAHE,MAHE PANDAKKAL PO PONDICHERRY,673310,0490,"2358390 ,",2358390,2358390,rathnanko@yahoo.com,,1988,3/31/2012 12:00:00 AM,RATHNAKARAN K O,1,"M.Sc., M.Phil., M.Ed.",10,10,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2024,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,2900003,PUDUCHERRY,MAHE,"MAHE, CHEMBRA, P.O. PARAL, MAHE, PUDUCHERRY",670671,0490,"2337966 ,",04132655745,,rajappanmn@gmail.com,,1987,,RAJAPPAN M N,0,,,,Secondary School,Provisional,1/4/2012,31/3/2014,KENDRIYA VIDYALAYA SANGATHAN
Achariya Bala Siksha Mandir,2930005,PUDUCHERRY,puducherry,"Achariya Commune, Fishing Harbour Road, Thengaithittu,Pondicherry",605004,0413,"3293344 ,",22261,,absmtt@achariya.org,http://www.achariya.in,2002,6/6/2002 12:00:00 AM,DR R ANITA SANTHAKUMAR,0,"M.Sc,B.Ed,(PHd),(M.B.A)",10,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Achariya Educational Public Trust
ACHARIYA SIKSHA MANDIR,2930007,PUDUCHERRY,puducherry,ACHARIYAPURAM URUVAIYARU,605110,0413,"04132660881 ,",,04132660881,asmhead@achariya.org,http://www.achariya.in/,2002,7/6/2002 12:00:00 AM,MR.MOHAMED FAROOK U.,1,"M.Sc.,B.Ed.",4,12,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,ACHARIYA EDUCATIONAL PUBLIC TRUST UST
ADITYA BIDYASHRAM,2930002,PUDUCHERRY,puducherry,"PORIAIYUR, VILLIANUR, DISTT PONDICHERRY, PONDICHERRY-605110",605110,0413,"2660780 , `",02602563152,2562624,principal_cbse@adityacbse.com,,1983,4/1/1997 12:00:00 AM,NADESAN KANGUEYAN,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,SHANTI JANAK SACHDEVA EDNL.SOC.
AJ HIGHER SECONDARY SCHOOL,2930014,PUDUCHERRY,puducherry,"TN PALAYAM, ARIYANKUPPAM COMMUNE",605007,0413,"04132912010, ,",,,ajschool2015@gmail.com,http://www.ajschool.in,2012,11/23/2012 12:00:00 AM,MR.MOHAMED RAFI.M,1,"M.Sc., M.Phil., B.Ed",8,10,Secondary School,Provisional,1/4/2018,31/3/2021,AJ EDUCATIONAL TRUST
"AMRITA VIDYALAYAM, PONDICHERRY",2930015,PUDUCHERRY,puducherry,"JJ NAGAR, MOOLAKULAM VILLUPURAM MAIN ROAD,",605010,,"0413-2292976, 2292977 ,",,0422-2686274,avpondi2015@gmail.com,http://amritavidyalayam.in/,2014,6/15/2015 12:00:00 AM,Mr.JEYA GANAPATHY,,"M.SC., M.ED.,",14,6,Secondary School,Provisional,1/4/2017,31/3/2020,MATA AMRITANANDAMAYI MATH
BHAVANI VIDYASHRAM CBSE SCHOOL,2930020,PUDUCHERRY,puducherry,"MATHIKRISHNAPURAM , BAHOUR COMMUNE,PUDHUCHERRY.",606402,,"04132611359 ,",,04132611359,www.bhavanicbse@yahoo.com,http://www.kalaii.com,2013,6/11/2014 12:00:00 AM,Mrs.J Anjalin Devakumari,,"MA., M.Ed",5,8,Secondary School,Provisional,1/4/2017,31/3/2020,BHAVANI JAYARAM EDUCATIONAL AND CULTURAL TRUST
BILLABONG HIGH INTERNATIONAL SCHOOL,2930012,PUDUCHERRY,puducherry,"THIRD CROSS, J.J. NAGAR, MOOLAKULAM, OULGARET MUNICIPALITY",605010,0413,"2295444 ,",,04132293492,billabongprincipal@gmail.com,http://www.billabongpondy.com,2014,6/16/2014 12:00:00 AM,K KALPANA,0,"M.A.,(Eng.Lit.), M.A.,(Pub.Admn.), B.Ed., M.Phil.",12,17,Secondary School,Provisional,1/4/2018,31/3/2023,SAM PAUL EDUCATIONAL TRUST
Brainy Blooms LEcole Internationale,2930017,PUDUCHERRY,puducherry,"Thirukkanur to Mannadipet Road, Thirukkanur,",605501,0413,"2680068 ,",,,santhijayasundhar@gmail.com,http://www.brainyblooms.com,2015,6/15/2015 12:00:00 AM,Santhi,,"M.Sc., M.Phil., M.Ed.,",3,9,Secondary School,Provisional,1/4/2017,31/3/2020,Sri Aravinth Educational Trust
HOLY FLOWERS HIGHER SECONDARY SCHOOL,2930022,PUDUCHERRY,puducherry,"MADUKARAI MAIN ROAD, KARIYAMANICKAM,",605106,,"0413 2699709 ,",,,holyflowereducation@gmail.com,http://www.holyflowersedutrust.com,2015,6/4/2015 12:00:00 AM,Mr.R. RAJASEKARAN,,"M.A., B.Ed",54,20,Secondary School,Provisional,1/4/2019,31/3/2022,HOLY FLOWERS EDUCATIONAL & CHARITABLE TRUST
jawahar navodaya vidyalaya,2940004,PUDUCHERRY,puducherry,mettakur yanam - 533 464 ut of pondicherry,284403,,"2405 ,",40231,,,,1988,3/31/2011 12:00:00 AM,B. SUDHAKARA REDDY,0,,,,Secondary School,Provisional,1/4/2019,31/3/2020,navodaya vidyalaya samiti
jawahar navodaya vidyalaya,2940001,PUDUCHERRY,puducherry,mathur road peria kalapet pondicherry,605014,0413,"2655133 , 655426",655426,,venkatbv@gmail.com,,1986,3/31/2012 12:00:00 AM,B VENKATESWARAN,2,ma,4,15,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,navodaya vidyalaya samiti
KENDRIYA VIDYALAYA NO 1,2900001,PUDUCHERRY,puducherry,JIPMER CAMPUS PUDUCHERRY 605 006,605006,0413,"2272457 , 372346",372346,,pbs786@gmail.com,,1968,4/1/1991 12:00:00 AM,P BALASUBRAMANIAN,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2022,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA NO 2,2900002,PUDUCHERRY,puducherry,"PONDICHERRY UNIVERSITY CAMPUS KALAPET, PUDUCHERRY-605014",605014,0413,"2655745 , EX-406",04132655745,2655092,pudayasooriyan@gmail.com,http://www.kvno2pondy.org,1987,1/25/2009 12:00:00 AM,UDAYASOORIYAN P,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
SAIRAM VIDYALAYA,2930010,PUDUCHERRY,puducherry,"VILLIYANUR - KOODAPAKKAM MAINROAD, ULAVAIKKAL,",605502,,"04132661557, 04132661537 ,",,04132660774,cbsepondy@sairamschool.edu.in,http://www.sairamschool.edu.in,2012,6/3/2013 12:00:00 AM,Mr.BALAKRISHNAN.R,0,"M.A., M.Ed.",08,08,Secondary School,Provisional,1/4/2017,31/3/2020,SAPTHAGIRI EDUCATIONAL TRUST
St. Joseph of Cluny School - CBSE,2930018,PUDUCHERRY,puducherry,Thirukanchi Road,605110,0413,"2666702 ,",,,jaisesjc@gmail.com,,2015,6/12/2015 12:00:00 AM,JAISE JOHN,,"BA English, Hindi Praveen Pracha, B.Ed., MA Hindi",7,20,Middle Class,Provisional,1/4/2017,31/3/2020,The Educational Institute of the Sisters of St. Joseph of Cluny
STANSFORD INTERNATIONAL Hr. Sec. SCHOOL,2930016,PUDUCHERRY,puducherry,"PITCHAVEERANPET, MOOLAKULAM",605010,0413,"2294444 ,",,9786655844,stansfordinternationalschool@gmail.com,http://www.stansfordinternationalschool.com,2006,6/1/2016 12:00:00 AM,USHARANI G,,"M.A., M.ED., M.PHIL",15,18,Secondary School,Provisional,1/4/2017,31/3/2020,SAM PAUL EDUCATIONAL TRUST
