Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
AJANTA PUBLIC SCHOOL,1630064,PUNJAB,AMRITSAR,BESANT AVENUE AMRITSAR PUNJAB,143001,0183,"2224296 ,",227477,,prashantmehra1978@gmail.com,,1983,6/2/2003 12:00:00 AM,PRASHANT MEHRA,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,AJANTA EDUCATIONAL CENTRE
AMARPURI PUBLIC SCHOOL,1630050,PUNJAB,AMRITSAR,SIRI GOINDWAL SAHIB DISTT AMRITSAR PUNJAB,143422,0,"9501356108 ,",465261,0183-2700808,amarpuripublicschool@gmail.com,,1980,3/4/2003 12:00:00 AM,Harnarinderdeep Kaur,2,"M.A, B.Ed",02,20,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,A P SCHOOL SOCIETY
AMERICAN SCHOOL,1631149,PUNJAB,AMRITSAR,"VEROWAL ROAD,VPO DHARAR,JANDIALA GURU",143001,998,"9988851756 ,",,,americanschoolprincipal@gmail.com,,2011,4/1/2011 12:00:00 AM,Rajinder Kaur,,M SC.(CS) B.ED,2,8,Middle Class,Provisional,4/1/2017,31/3/2020,BRILLIANT BRAINZ EDUCATIONAL SOCIETY
AMRITSAR PUBLIC SCHOOL,1630247,PUNJAB,AMRITSAR,"FOCAL POINT, G T ROAD AMRITSAR PUNJAB",143001,91,"7355544465 , 2588001",76049,,gurpreetoberoi98@gmail.com,,1998,4/1/2002 12:00:00 AM,GURPREET KAUR OBEROI,1,M Sc B Ed,1,7,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,AMRITSAR EDN SOCIETY
ANGELS WORLD SCHOOL,1631217,PUNJAB,AMRITSAR,MIRI PIRI ACADEMY ROAD CHHEHARTA AMRITSAR,143105,,"09501802168 ,",,,angelworldschool2016@gmail.com,http://angelsworldschool.org,2006,4/1/2006 12:00:00 AM,Mrs.SATINDER KHURANA,0,MBA BEd,10,20,Secondary School,Provisional,1/4/2018,31/3/2021,AMRITSAR EDUCATIONAL SOCIETY
ARMY SCHOOL,1680006,PUNJAB,AMRITSAR,AMRITSAR CANTT PUNJAB,143001,,"6917 ,",6936,,armyschoolasr@rediffmail.com,,1985,,LT COL KULDIP SINGH,,,,,Senior Secondary,Provisional,1/4/2005,31/ 3/ 2010,ARMY WELFARE EDUCATION SOCIETY
Ashok Vatika Public School,1630804,PUNJAB,AMRITSAR,"Four Fields Avenue, G.T.Road",143001,0183,"2589963 ,",,,anchalmahajan1980@gmail.com,,1995,4/9/1995 12:00:00 AM,Anchal Mahajan,0,"M.A,B.Ed",2,5,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,Ashok Vatika Educational Trust
BABA ISHER SINGH ( N) PUBLIC SCHOOL,1630555,PUNJAB,AMRITSAR,"D-BLOCK , RANJIT AVENUE AMRITSAR",143001,0183,"2501705 ,",251990,01832501705,bisnpss@yahoo.in,,1992,4/1/1993 12:00:00 AM,Nisha Chaba,1,"M.COM,M.ED",02,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,BABA ISHER SINGH (N) EDUCATION TRUST
BDS PUBLIC SCHOOL,1630645,PUNJAB,AMRITSAR,NEAR GOVT. COLLEGE AJNALA AMRITSAR,143102,1858,"222233 ,",,,bdsschool13@gmail.com,,2005,3/1/2005 12:00:00 AM,GURPREET KAUR,0,"MSC, BED",1,5,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,BABA DEEP SINGH EDUCATIONAL SOCIETY
BHAI GURDAS ACADEMY,1630360,PUNJAB,AMRITSAR,GURU KI NAGRI PANDORI RAN SINGH TARAN TARAN ROAD AMRITSAR PUNJAB,143401,1852,"9814898472 ,",,,bhaigurdasacademy@gmail.com,,2003,4/2/2001 12:00:00 AM,Rubinder Kaur,1,"M.A.,M.Sc.,B.Ed.,M.Phil",5,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,BHAI GURDAS EDUCATIONAL FOUNDATION
BHARTIYA VIDYA BHAWAN SACHAN LAL PUBLIC SCHOOL,1630108,PUNJAB,AMRITSAR,AMRITSAR SHIVALA ROAD PUNJAB,143001,0183,"2272618 ,",01612880530,4132622661,anitaarorabhalla@ymail.com,http://www.auroville.org.in,1994,6/10/2007 12:00:00 AM,DR ANITA BHALLA,2,"B.A., M.Phil, M.Ed.",15,9,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,JOG PAL EDUCATIONAL SOCIETY
BIBI KAULAN JI PUBLIC SCHOOL,1630704,PUNJAB,AMRITSAR,"NEAR GURDWARA TAHLA SAHIB , TARANTARAN ROAD , AMRITSAR",143001,91,"8727802184 ,",3335557,01832483920,principalbkjschool2@yahoo.com,,2010,4/1/2010 12:00:00 AM,JAGJIT KAUR,2,"M.A., B.Ed.",5,8,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,"MATA KAULAN JI BHALAI KENDER INSIDEGILWALI GATE , AMRITSAR"
Bright Land School,1630773,PUNJAB,AMRITSAR,"Village Pandori Wariach, Majitha Road, Amritsar",143008,0183,"2222676 ,",,,ravinder@brightlandeducation.net,,2003,4/7/2003 12:00:00 AM,HARSH THUKRAL,1,B.A. B.Ed,8,12,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Maa Saraswati Educational Society
BUDS SENIOR SCHOOL,1630318,PUNJAB,AMRITSAR,"AJNALA ROAD VILL KAMBOJ, PO HEER VIA RAYABANSI NEAR POLICE POST, AMRITSAR PUNJAB",143181,0813,"9876429744 , 2500514",2222155,2227606,budsseniorschool@gmail.com,,2001,4/1/2005 12:00:00 AM,JPuri,1,M.A. B.ed. Phd.,4,23,Secondary School,Provisional,1/4/2018,31/3/2019,JYOTI INSTITUTE OF EDUCATION
Cambridge International School,1630668,PUNJAB,AMRITSAR,"VPO- Muradpur, Loharka Road,",143001,91,"9646677888 ,",,,principal.cisa@gmail.com,http://www.learningwings.org/amritsar,2009,4/15/2009 12:00:00 AM,GAUTAM GUHA,0,"M.A, M.Ed",8,18,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Shri Sita Ram Memorial Educational Society
