Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
ALL SAINT SENIOR HIGHER SECONDARY SCHOOL,1730848,RAJASTHAN,AJMER,"CHANDERVARDAI NAGAR, AJMER",305001,,"9461205394 ,",,,poonamminzmailbox@rediffmail.com,http://www.asshss.com,2013,4/15/2013 12:00:00 AM,Mrs.Poonam Minz,,M.A. B.Ed.,5,10,Secondary School,Provisional,1/4/2017,31/3/2020,ALL SAINTS EDUCATIONAL SOCIETY
ALL SAINTS SR SEC SCHOOL,1730246,RAJASTHAN,AJMER,NEAR RAILWAY HOSPITAL BEAWAR ROAD AJMER RAJASTHAN,305001,0145,"2461536 , 2463222",2460954,,jayakumarajmer@gmail.com,,1994,4/1/2005 12:00:00 AM,Jaya Kumar,1,"M.A.,B.Ed.",4,8,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,ALL SAINTS EDUCATIONAL SOCIETY
ARMY PUBLIC SCHOOL,1780011,RAJASTHAN,AJMER,NASIRABAD CANTT 13 THE MALL DT.AJMER RAJASTHAN,305601,1491,"220510 ,",22399,,principalapsnsd@gmail.com,,1997,4/1/2005 12:00:00 AM,Ashok Sharma,2,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,ARMY WELFARE EDN. SOCIETY
BHANWAR LAL GOTHI PUBLIC SEC. SCHOOL,1730316,RAJASTHAN,AJMER,KRISHNA COLONY BEAWAR AJMER RAJASTHAN,305901,1462,"256024 , 254024",,,aksharma1965@gmail.com,,1998,8/12/2007 12:00:00 AM,DR ANIL KUMAR SHARMA,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DAV COLLEGE TRUST & MGMT SOCIETY
Birla International School Kishangarh,1730551,RAJASTHAN,AJMER,"82 KM Milestone, Jaipur- Ajmer Highway NH8, p.o.Bander Sindiri, Madanganj - Kishangarh Dist. Ajmer- 305001",305001,1463,"302500 ,",,01463302772,bisk.principal@gmail.com,http://www.birlainternationalschool.com,1929,7/1/2010 12:00:00 AM,SANJAY TIWARI,2,-,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Birla Education Trust
BRIGHT INDIA PUBLIC SCHOOL,1730498,RAJASTHAN,AJMER,"70, DEFENCE COLONY FOYSAGAR ROAD AJMER 305005",305005,0145,"2600013 ,",67040,01452600745,dhaval10ajmer@gmail.com,,2010,7/1/2010 12:00:00 AM,Dinesh Kumar Mathur,0,M.A. M.Ed,10,15,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,BRIGHT INDIA PUBLIC SCHOOL SHIKSHA SAMITI
Central Academy,1730329,RAJASTHAN,AJMER,"pragati nagar, Kotra, Ajmer, Rajasthan",305004,0145,"2310471 ,",,,RAJPUTAJAY2014@GMAIL.COM,,2004,7/1/2004 12:00:00 AM,AJAY SINGH RAJPUT,2,"m.sc., b.ed., m.ed.",21,5,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,"central acedmy education socitey, ajmer"
CENTRAL ACADEMY SR SEC SCHOOL,1730300,RAJASTHAN,AJMER,SHRI CEMENT LTD BEAWAR RAJASTHAN,305901,1462,"228141 ,",872854,,shamahawa@shreecementltd.com,,1990,7/1/2008 12:00:00 AM,SHAMA HAWA,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,CENTRAL ACADEMY SHIKSHA SAMITI
DAV CENTENARY PUBLIC SCHOOL,1730155,RAJASTHAN,AJMER,ADARSH NAGAR PURANI CHUNGI CHOWKI NASIRABAD ROAD AJMER RAJASHTHAN,305001,0145,"2441242 ,",5131750,2683125,mpsingh1271@gmail.com,,1994,8/12/2007 12:00:00 AM,MAHENDRA PAL SINGH,1,"M.A.ENG, B.ED.",10,15,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,ARYA SAMAJ EDU SOC
DEFENCE SECONDARY SCHOOL,1730175,RAJASTHAN,AJMER,BALUPURA ROAD ADARSH NAGAR AJMER RAJASTHAN,305008,0145,"441103 ,",440105,,stpaulscor@yahoo.co.in,,1976,8/2/1991 12:00:00 AM,MRS MANJU MATHURIA,2,M.A. B.Ed.,5,10,Secondary School,Provisional,1/4/2002,31/3/2005,RAGHUKUL SHIKSHA SAMITI
DEMONSTRATION MULTIPURPOSE SCHOOL,1730024,RAJASTHAN,AJMER,(REGIONAL INSTITUTE OF EDUCATION) PUSHKAR ROAD AJMER RAJASTHAN,305004,0145,"2643900 ,",20320,220271,digvijay7959c@gmail.com,,1964,4/30/2014 12:00:00 AM,D N PANDEY,0,,,,Senior Secondary,Provisional,1/4/2000,31/ 3/ 2019,N C E R T NEW DELHI
DPS AJMER SENIOR SECONDARY SCHOOL,1730835,RAJASTHAN,AJMER,"NEAR TABIJI RAILWAY CROSSING, TABIJI FARM ROAD, TABIJI",305206,,"01452440864 ,",,,info@dpsajmer.in,http://www.dpsajmer.in,2016,4/11/2016 12:00:00 AM,Mrs.REEMA SINGH MADHUR,0,"BA, B.Ed",4,14,Secondary School,Provisional,4/1/2017,31/3/2020,MODERN EDUCATION AND RESEARCH CENTER SOCIETY AJMER
Emmanuel Mission Sec School,1730627,RAJASTHAN,AJMER,"Balad Road, Beawar, Ajmer",305901,1462,"240118 ,",,01462240118,blessygv9@gmail.com,http://www.emmanuelbeawar.com,2000,7/1/2000 12:00:00 AM,Blessy George,0,"B.A., B.ed",7,13,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,E.E. & Charitable Society
EMMANUEL PUBLIC SCHOOL,1730463,RAJASTHAN,AJMER,"MADANGANJ, KISHANGARH, DISTT AJMER, RAJASTHAN",305801,1463,"297040 ,",,,dineshsogani1972@gmail.com,,2007,5/27/2007 12:00:00 AM,DINESH KUMAR SOGANI,0,,,,Secondary School,Provisional,1/4/2014,31/3/2019,johnson grammar school educational society
Future foundation the school,1730556,RAJASTHAN,AJMER,Beawar Road pisangan Ajmer,305204,0145,"2775863 ,",,01452775654,fftheschool@gmail.com,,2007,7/2/2007 12:00:00 AM,Namita Gupta,0,"MA,BEd.",5,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Society for Eco Friendly Agriculture And Rural Development
Guru siddharth International School,1730472,RAJASTHAN,AJMER,"Bijaynagar Road, Behind Central Jail",305901,1462,"290490 ,",,01462255971,gurusis1730472@gmail.com,http://www.gurusiddharth.com,2005,7/1/2005 12:00:00 AM,Kalpana Dalela,0,M.A. B.Ed. M.phil,5,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,"Gurudeep Shikshan and JanKalyan Samiti, Beawar"
Hukum chand Public School,1730717,RAJASTHAN,AJMER,"Danta, Beer Circle, Nasirabad Road, Ajmer",305025,0145,"297305 ,",,01452426610,sydneyellis@rediffmail.com,http://www.hpsajmer.com,2011,7/1/2011 12:00:00 AM,Sydney Ellis,0,M.A. B.Ed.,8,29,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Competition Plus Sansthan
JAWAHAR NAVODAYA VIDYALAYA,1740012,RAJASTHAN,AJMER,NANDLA NASIRABAD DISTT AJMER RAJASTHAN,305601,0149,"297006 ,",242101,,srmeena10@gmail.com,,1988,3/31/2011 12:00:00 AM,SITARAM MEENA,2,MA,4,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,NAVODAYA VIDYALAYA SAMITI
K D JAIN PUBLIC SCHOOL,1730221,RAJASTHAN,AJMER,NEAR RAVINDRA RANGMUNCH MADANGARJ KISHANGARH DISTT AJMER RAJASTHAN,305801,1463,"246391 , 2431338",01463325745,246391,kdjainpublic_school@yahoo.co.in,,1995,7/10/2000 12:00:00 AM,SUDESH YADAV,2,M.ED. ENGLISH,7,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,K D JAIN SHIKSHAN PARISHAD
KENDRIYA VIDYALAYA,1700013,RAJASTHAN,AJMER,21 G R C CAMEL ROAD NASIRABAD AJMER DISTT RAJASTHAN,305601,1491,"220046 ,",49,,sudeshsinghkv1@gmail.com,,1971,1/25/2009 12:00:00 AM,SUDESH SINGH,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
kendriya vidyalaya,1700071,RAJASTHAN,AJMER,"central university of rajasthan campus (curaj), bandarsindri, nh-28, krishangarh , ajer, rajasthan- 305 817",,,",",,,,,1994,10/26/2018 12:00:00 AM,.,0,,,,Secondary School,Provisional,1/4/2018,31/3/2021,kendriya vidyalaya sangathan
KENDRIYA VIDYALAYA,1700044,RAJASTHAN,AJMER,SINGHADIYA LINK ROAD BEAWAR DT.AJMER RAJASTHAN,305901,1462,"223722 ,",298,2466171,rajeshkantharia12@yahoo.com,http://www.kv2kota.org,1987,,RAJESH KANTHARIA,1,M. Sc.,03,30,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA NO 1,1700033,RAJASTHAN,AJMER,C R P F GROUP CENTRE -I GOLF COURSE ROAD AJMER RAJASTHAN,305001,0145,"2670251 ,",,,SUBHASH.AGARWAL16@YAHOO.COM,,1985,1/25/2009 12:00:00 AM,SUBHASH CHAND AGARWAL,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA NO 2,1700036,RAJASTHAN,AJMER,C R P F GROUP CENTRE II NEAR FOY SAGAR AJMER RAJASTHAN,305005,0145,"2600675 ,",0145,2600675,KV2AJMER@REDIFFMAIL.COM,www.kv2ajmer.org,1987,,G S Mehta,1,M Sc. BEd.,2,,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2014,KENDRIYA VIDYALAYA SANGATHAN
KHWAJA MODEL SCHOOL,1730227,RAJASTHAN,AJMER,DARGAH APARTMENT CIVIL LINES AJMER RAJASTHAN,305001,0145,"2423380 , 2425498",2231456,,shaikh.goush9@gmail.com,,1994,7/1/2008 12:00:00 AM,Shaikh Goush Habib Patel,1,MA MEd. PGDCA.,13,18,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,DURGAH COMMITTEE
LAWRENCE & MAYO PUBLIC SCHOOL,1730095,RAJASTHAN,AJMER,VAISHALI NAGAR AJMER RAJASTHAN,305006,0145,"2642439 ,",01452693441,,lmpsajmer2@gmail.com,,1988,12/18/2000 12:00:00 AM,SANJEEV SHARMA,1,"MA, BED",9,12,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2024,LAWRENCE & MAYO EDUCATION
MAHARAJA AGRASEN PUBLIC SCHOOL,1730343,RAJASTHAN,AJMER,"NEAR PATEL STADIUM, AJMER, RAJASTHAN",305001,0145,"2623105 ,",270061,270061,meenasharmaraj@yahoo.com,manikpublicschool.org,1995,4/9/2002 12:00:00 AM,MEENA SHARMA,2,"M.A, B.Ed",10,16,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,SMT SITA DEVI MEMORIAL SOCIETY
MAHARISHI VIDYA MANDIR,1730102,RAJASTHAN,AJMER,BALAJI N.H.NO-8 JAIPUR ROAD AJMER RAJASTHAN,305023,0744,"2371587 ,",245500,,stpaulscor@yahoo.co.in,,1991,8/2/1991 12:00:00 AM,DR V K MISHRA,2,M.A. B.Ed.,5,10,Senior Secondary,Provisional,1/4/2004,31/ 3/ 2009,
