Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
MAHINDRA WORLD SCHOOL,1930221,TAMILNADU,CHENGALPATTU,"PLOT-30,2nd AVENUE, MAHINDRAWORLDCITY, CHENGALPET, NATHAM SUB P.O PIN -603002.",603002,044,"47490060 ,",9412663007,044-27460055,suganthi.m@mahindraworldschool.com,http://www.mahindraworldschool.com,2008,6/20/2008 12:00:00 AM,Suganthi Medasani,1,"M.Sc,M.Ed",15,30,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MAHINDRA WORLD SCHOOL
scad world school,1930670,TAMILNADU,CHENGALPATTU,pazhaveli,603111,044,"27403091 ,",,,ramesh_0024@yahoo.co.in,,2014,4/6/2014 12:00:00 AM,Ramesh,,"M.A. M.Phil,B.Ed",15,10,Secondary School,Provisional,1/4/2016,31/3/2019,Ark India Educational Trust
Vidhya Sagar Global School,1930244,TAMILNADU,CHENGALPATTU,G S T Road,603111,044,"27433959 ,","7299008490,9840731700",04427429842,vsgsprincipal@vswc.in,http://www.vsglobalschool.in,2008,6/18/2008 12:00:00 AM,G PUGALENTHI,2,"M.Sc(Mathematics), B.Ed",5,36,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Vidhya Sagar Charitable Trust
ALPHA SCHOOL,1930798,TAMILNADU,CHENNAI,"No: 16, 3RD CROSS STREET, WEST CIT NAGAR, CHENNAI",600035,044,"04424340369 ,",,,citschool@alphagroup.edu,http://www.alphagroup.edu,2013,6/12/2013 12:00:00 AM,MRS. REENA ALFRED,1,"M.Sc, M.Phil, B,Ed",10,29,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,ALPHA EDUCATIONAL SOCIETY
ARSHA VIDYA MANDIR,1930202,TAMILNADU,CHENNAI,114 VALACHERY ROAD GUINDY CHENNAI TAMIL NADU,600032,044,"22301177 , 22300505",9838161560,,principal@arshavidyamandir.in,,1996,6/5/2000 12:00:00 AM,P Nagarajan,2,"M.sc, B.ed",05,15,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,SHRI ABHINEVA VIDYASEVA TRUST
ASAN MEMORIAL SR SEC SCHOOL,1930002,TAMILNADU,CHENNAI,COCHIN HOUSE 1-ANDERSON ROAD CHENNAI TAMIL NADU,600006,044,"28275858 , 8272616",6285052,,arunaappasamy@gmail.com,,1966,4/1/1991 12:00:00 AM,ARUNA APPASAMY,1,,,,Senior Secondary,Provisional,1/5/1984,31/ 3/ 2018,ASAN MEMORIAL ASSOCIATION MADRAS 6
bala vidya mandir sr sec school,1930021,TAMILNADU,CHENNAI,iv-main road gandhi nagar adyar. chennai tamil nadu,600020,044,"24424445 , 4424446",8754100938,,bvmadyarprincipal@gmail.com,,1951,6/2/1990 12:00:00 AM,SRINIVASA RAGHAVAN R,1,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,joint management committee
BHAKTAVATSALAM VIDYASHRAM,1930132,TAMILNADU,CHENNAI,PERIYAR NAGAR KORATTUR CHENNAI TAMIL NADU,600080,044,"26870899 , 6241547",6207416,,chandrika1990@yahoo.co.in,,1990,4/1/1991 12:00:00 AM,CHANDRIKA PRASAD,2,MA. M ED. M PHIL,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,BHAKTAVAT SALAM MEMORIAL TRUST
bharath sr sec school,1930046,TAMILNADU,CHENNAI,121 kamaraj avenue adyar chennai tamil nadu,600020,044,"24413051 , 4414484",4411387,,premshantha50@gmail.com,,1961,6/5/2000 12:00:00 AM,K PREMSHANTHA,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,bharath educational society
Bharati Vidyalaya Sr. Secondary School,1930158,TAMILNADU,CHENNAI,"721, Sholinganallur - Medavakkam High Road, Perumbakkam, Kanchipuram",600100,044,"65725052 , 2461122",4937177,24790015,ananth.pushpa@gmail.com,,2001,4/1/2005 12:00:00 AM,A PARVATHY,2,M.A.M.Ed,6,16,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,VIDYA BHARTHI TRUST
C V R D E SECONDARY SCHOOL,1930042,TAMILNADU,CHENNAI,AVADI CHENNAI TAMIL NADU,600054,,"6385862 ,",6372509,,drcurd@tn.nic.in,,1978,,MRS JAYALAKSHMI RAGHAVAN,2,,,,Secondary School,Provisional,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)",,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)"
CHINMAYA VIDYALAYA,1930147,TAMILNADU,CHENNAI,PLOT NO. 5063 Z BLOCK BELLY AREA ANNA NAGAR WEST CHENNAI,600040,044,"26261358 , 6223217",04424796253,26210939,gowrilvenkat@gmail.com,,2009,4/1/2009 12:00:00 AM,V GOWRILAKSHMI,2,M.Sc. M.Ed,6,17,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,
D A V BOYS SENIOR SEC SCHOOL,1930148,TAMILNADU,CHENNAI,212-213 LLOYDS ROAD GOPALAPURAM CHENNAI TAMIL NADU,600086,044,"28352866 , 8251370",8232169,265009,shanthydavgpm@gmail.com,http://www.skps.ac.in,1980,6/2/1997 12:00:00 AM,SHANTHY ASOKAN,1,M.A.M.A B.ED.,10,23,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,Paradise educational society
D A V GIRLS SR SEC SCHOOL,1930003,TAMILNADU,CHENNAI,182 LLOYDS ROAD GOPALAPURAM CHENNAI TAMIL NADU,600086,044,"28114193 , 8251369",8259760,,ushakc69@gmail.com,,1970,4/1/1991 12:00:00 AM,K C USHA,1,,,,Senior Secondary,Provisional,28/3/1974,31/ 3/ 2019,TAMILNADU ARYA SAMAJ EDNL. SOCIETY
D A V PUBLIC SCHOOL,1930141,TAMILNADU,CHENNAI,NO 19 SITARAM NAGAR VELACHERY CHENNAI TAMIL NADU,600042,044,"22431258 ,",26413119,22430459,minoodav@gmail.com,,1999,6/25/2007 12:00:00 AM,MINOO AGGARWAL,2,"M.Sc., M.Phil., B.Ed.",33,33,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MGM CHARITABLE SOCIETY
D.A.V.BABA SCHOOL,1930926,TAMILNADU,CHENNAI,"R-62, II AVENUE, TNHB COLONY,VELACHERY",600042,,"044-45574908 ,",,,davbabaschool2010@gmail.com,http://www.davbabaschool.com,2010,6/17/2010 12:00:00 AM,MRS.SHEELA PATNAIK,1,"M.A., B.Ed.,",3,15,Secondary School,Provisional,1/4/2018,31/3/2021,Sri Sai Educational Trust
DAVe BABA VIDYALAYA,1930759,TAMILNADU,CHENNAI,16 Vandikaran street velacherry chennai-600042,600042,044,"22452457 ,",,,s.sulochana67@gmail.com,http://www.davbabavidyalaya.com,2012,6/6/2012 12:00:00 AM,SULOCHANA S,,"MA., B.Ed",5,14,Secondary School,Provisional,1/4/2017,31/3/2020,SRI BABA EDUCATIONAL TRUST
Hindustan International School,1930674,TAMILNADU,CHENNAI,"KCG Nagar, Rajiv Gandhi Salai, Karapakkam,",600097,,"04460503433 ,",,,smoperations@hindustanschools.in,http://www.hindustanschools.in,2015,6/22/2015 12:00:00 AM,Mr.N A Prasad,0,"BSc, MA,MA,BEd",20,10,Secondary School,Provisional,1/4/2016,31/3/2019,Hindustan Engineering Training Center
JAIGOPAL GARODIA VIVEKANANDA VIDYALAYA,1930129,TAMILNADU,CHENNAI,AVADI-POONAMALLEE ROAD VIVEKANANDA NAGAR AVADI CHENNAI TAMIL NADU,600054,044,"26551520 ,",0494-3204090,,shylvasu@gmail.com,www.igvvavadi.com,1981,6/2/1997 12:00:00 AM,SYLASREE VASUNATH,1,"MA,MEd.",3,25,Secondary School,Provisional,1/3/2013,31/3/2018,HINDU EDUCATIONAL AND CHARITABLE TR
JAIN VIDYA ASHRAM,1930170,TAMILNADU,CHENNAI,"150 OTHAWADAI STREET PUZHAL, DISTT CHENNAI, TAMILNADU-600066",600066,044,"26590111 ,",044-26590661,26590661,jainvidyaashram@gmail.com,www.jainvidyaashram.org,,,ESTHER STANLEY,1,"M.A.,B.Ed.,Ph.D",6,17,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2015,RESEARCH FOUNDATION FOR JAINOLOGY
