Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
carmel convent school,3630087,TELANGANA,ADILABAD,acc mancherial adilabad dt,504209,0484,"08736250051,08736-252417 ,",468434,08736252417,cjpmncl@yahoo.co.in,http://www.cmcmancherial.g,2004,6/14/2004 12:00:00 AM,jancy thomas,2,"m.a, b.ed",03,06,Secondary School,Provisional,1/4/2014,31/3/2019,carmel education society
JAWAHAR NAVODAYA VIDYALAYA,3640004,TELANGANA,ADILABAD,SIRPUR-KAGAZ NAGAR R R O CAMP TRISHUL PAHAD ADILABAD DISTT.,504296,08738,"38021 ,",62631,,,,1987,3/31/2011 12:00:00 AM,DR P SATYANARANA,1,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,3600013,TELANGANA,ADILABAD,C C I TOWNSHIP ADILABAD ANDHRA PRADESH,504003,08732,"26503 ,",27488,,kvnadvsp9@yahoo.co.uk,,1988,4/1/1991 12:00:00 AM,P ESWARA SARMA,2,,,,Senior Secondary,Provisional,4/11/1993,31/ 3/ 2001,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,3600020,TELANGANA,ADILABAD,"ADILABAD, OLD D.M. HOUSE, NIRMITHI KENDRAM, ADILABAD, ANDHRA PRADESH",504000,08732,"220506 ,",,,,,1994,,MR. K. VENAIAH,1,,,,Secondary School,Provisional,1/4/2014,31/3/2019,K V S
SRI USHODAYA HIGH SCHOOL,3630231,TELANGANA,ADILABAD,"A.C.C.QUARRY ROAD,MANCHERIAL.ADILABAD DIST.TELANGANA",504208,8736,"259359 ,",,9849579055,yarlagaddabalaji.mncl@gmail.com,http://sriushodayamncl.com,2003,6/12/2003 12:00:00 AM,YARLAGADDA BALAJI,,"M.Sc.,B.Ed.,",9,13,Secondary School,Provisional,1/4/2017,31/3/2020,SRI USHODAYA EDUCATIONAL SOCIETY
ST. CLARET SCHOOL,3630262,TELANGANA,ADILABAD,ST.CLARET SCHOOL KAGHAZNAGAR KAGHAZNAGAR P.O. PIN: 504296,504296,,"9492183765 ,",,,claretskzr@gmail.com,,2013,6/12/2013 12:00:00 AM,MR.JOBY THOMAS,1,"M.Sc., B.Ed.",10,12,Secondary School,Provisional,1/4/2018,31/3/2021,St. Claret Educational Society
YUVA SANGATHAN SCHOOL,3630041,TELANGANA,ADILABAD,POST OFFICE ROAD BELLAMPALLY ADILABAD ANDHRA PRADESH,504251,08735,"22122 ,",22298,,,,,,D USHA RANI,2,,,,Secondary School,Provisional,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)",,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)"
Academic Heights Public School,3630234,TELANGANA,HYDERABAD,"18-4-42/a, Aliabad Sahmshergunj",500053,040,"64546403 ,",,,principalahps@yahoo.com,,2015,3/26/2015 12:00:00 AM,Najmunissa Begum,,M.A M.Ed,10,12,Secondary School,Provisional,1/4/2017,31/3/2020,Athena Educational Society
AIR FORCE SCHOOL,3680005,TELANGANA,HYDERABAD,BEGUMPET AIR FORCE STATION BEGUMPET P.O HYDERABAD ANDHRA PRADESH,500011,040,"7753551 , 7753551",6507607,,,,1977,6/25/2007 12:00:00 AM,S V SARASWATHI,2,,,,Secondary School,Provisional,1/4/2014,31/3/2022,IAF EDUCATIONAL CULTURAL SOCIETY N.D
ARMY PUBLIC SCHOOL,3680008,TELANGANA,HYDERABAD,"GOLCONDA, ARTILLERY CENTRE, HYDERABAD, ANDHRA PRADESH",500031,040,"23522885 ,",,,,,,,VIDYA MURALIDHARAN,0,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2022,
ATOMIC ENERGY CENTRAL SCHOOL,3680007,TELANGANA,HYDERABAD,DAE COLONY ECIL PO HYDERABAD ANDHRA PRADESH,500062,040,"7123363 ,",7125759,,,,1981,7/1/1987 12:00:00 AM,M SITAMAHALAKSHMI,2,,,,Secondary School,Provisional,1/4/2015,31/3/2018,ATOMIC ENERGY EDUCATIONAL SOCIETY
ATOMIC ENERGY CENTRAL SCHOOL,3680001,TELANGANA,HYDERABAD,E C I L CAMPUS NEAR TIFR E.C.I.L. POST HYDERABAD ANDHRA PRADESH,500062,040,"7120268 , 7120131",7134301,,rkdas@nfc.ernet.in,,1973,8/12/2007 12:00:00 AM,S G BAJWA,1,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2020,ATOMIC ENERGY EDUCATION SOCIETY BOMBAY
Azaan International School,3630106,TELANGANA,HYDERABAD,"9-4-136, Seven Tombs road, Tolichowki Golkonda, Hyderabad",500008,,"04064509370,04024413483 ,",,04024412197,azaan.cbse@gmail.com,http://azaanschool.com,2010,7/1/2010 12:00:00 AM,Mrs.Perween Sultana Shikoh,0,"M.A., B.Ed,C.T.E.",1,18,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Anwar Charitable Trust
AZRA PUBLIC SCHOOL,3630024,TELANGANA,HYDERABAD,10-2-510/1 ASIF NAGAR MEHDIPATNAM MAIN ROAD HYDERABAD ANDHRA PRADESH,500028,040,"3530453 3530262 , 3530262",3010127,,azra.school@gmail.com,http://www.azrapublicscho,1984,4/12/2004 12:00:00 AM,Mrs. MUMTAZ JAHAN,2,M.A. M.Ed,10,22,Secondary School,Provisional,1/4/2018,31/3/2019,A.P. MODERN EDUCATIONAL & SOCIAL SERVICES SOCIETY
BHARATIYA VIDYA BHAVAN'S PUBLIC SCHOOL,3630007,TELANGANA,HYDERABAD,JUBILEE HILLS ROAD NO.71 HYDERABAD ANDHRA PRADESH,500033,040,"3544934 , 3600122",3548849,,bvbpsjh@rediffmail.com,,1979,6/4/2007 12:00:00 AM,C RAMADEVI,2,"M.A, B. Ed.",8,20,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,B V BHAVAN
bharatiya vidya bhavan's vidyashram,3630030,TELANGANA,HYDERABAD,NIRD campus rajendranagar hyderabad andhra pradesh,500030,040,"4016404 , 4015001",3814856,,apbso4@rediffmail.com,,1996,4/1/2007 12:00:00 AM,v s n raju,2,ma. m.ed,23,8,Secondary School,Provisional,1/4/2019,31/3/2020,bvb's vidyashram
BHASHYAM BLOOMS SCHOOL,3630273,TELANGANA,HYDERABAD,"Sy.No. 1/AA & I/EE, 1/part, Ward No. 12, Block No. 1, Fathullaguda (V), Uppal (M), L.B.Nagar, Rangareddy Dist.",500068,,"040-29704920 ,",,,archana.t@bhashyam.in,http://www.bloomsnagole.in,2017,6/1/2017 12:00:00 AM,MRS. R KOMALI,1,"M.Sc, B.Ed",10,10,Secondary School,Provisional,1/4/2019,31/3/2022,Bhashyam Educational Society
brahm prakash d a v school,3630017,TELANGANA,HYDERABAD,midhani township kanchanbagh hyderabad andhra pradesh,500058,040,"24342036 ,",04024344882,0402434203,bpdav@indiatimes.com,bpdav@indiatimes.com,1985,6/5/2000 12:00:00 AM,mr. k.v.r.k.prasad,1,"m.sc.,m.phil.,b.ed.,pgdst",7,16,Secondary School,Provisional,1/4/2014,31/3/2019,dav college trust management societ
C A L PUBLIC SCHOOL,3630036,TELANGANA,HYDERABAD,1-50 KAPRA MAIN ROAD KAPRA HYDERABAD ANDHRA PRADESH,500762,040,"7120807 , 7123672",7731583,,chaos_ns@yahoo.com,,2001,7/1/2003 12:00:00 AM,C Inna Reddy,0,"MCA, B.Ed, B.Ph, BSC",9,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,"Ratlam Maruti Educational Society, Ratlam"
CHINMAYA VIDYALAYA,3630042,TELANGANA,HYDERABAD,KUNDAN BAGH BEGUM PET HYDERABAD ANDHRA PRADESH,500016,040,"3317594 ,",3747739,,pvgrao@hotmail.com,,1993,6/2/2003 12:00:00 AM,MRS SAILAJA,2,,,,Senior Secondary,Provisional,1/4/2011,31/ 3/ 2016,CHINMAYA SEWA TRUST HYDERABAD
CMR International School,3630122,TELANGANA,HYDERABAD,"173, Plassey Lane, Bowenpally SECUNDERABAD HYDERABAD BALANAGAR ANDHRA PRADESH",500011,,"04027758892 ,",,0,cmrschool@ymail.com,http://www.cmrschools.com,2010,6/12/2010 12:00:00 AM,Mrs.LIZZEY BENEDICT,0,"M.A., M.Ed",12,15,Secondary School,Provisional,1/4/2016,31/3/2021,C Malla Reddy Educational Society
CMR International School,3630148,TELANGANA,HYDERABAD,"Sy No. 163/2 & 163 & 174, Suraram Colony, Quthbullapur(M), Medchal District",500054,,"040 23097634 ,",,,mbghs2309@gmail.com,,1995,6/15/1995 12:00:00 AM,Mr.B.SWAROOPREDDY,0,"B COM, BED",18,18,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,B.K.EDUCATINOL SOCIETY
