Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
assam rifles high school,2080003,TRIPURA,DHALAI,"hrangkhapara, p.c, te;iamura, dist, khowal,tripura, c/o 99 apo",799289,0382,"262320 ,",9818430125,,priyankachaitanya21@gmail.com,,1987,4/1/1991 12:00:00 AM,Priyanka Thakyal,0,,,,Secondary School,Provisional,1/4/2016,31/3/2020,directate of education
JAWAHAR NAVODAYA VIDYALAYA,2040003,TRIPURA,DHALAI,82 MILES NALKATA PO- KANCHANHERA DT- DHALAI TRIPURA,799264,3824,"266210 ,",40231,,durgasanjana_vadrevu@yahoo.com,,1995,4/1/1991 12:00:00 AM,DURGA PRASAD VADREVU,0,,,,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2020,Navodaya Vidyalaya Samiti
KENDRIYA VIDYALAYA,2000006,TRIPURA,DHALAI,"JAWAHAR NAGAR, AMBASSA, DHALAI, TRIPURA",799289,3826,"267221 ,",,,ritesh.shrotriya786@gmail.com,,1974,4/1/1991 12:00:00 AM,RITESH SHROTRIYA,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2018,KENDRIYA VIDYALAYA SANGATHAN
DON BOSCO SCHOOL,2030009,TRIPURA,EAST TRIPURA,"VIA KUNJABAN AGARTALA, DISTT WEST TRIPURA, TRIPURA-799006",799006,0381,"2352006 , 2355573",2352006,,moshary_123@yahoo.in,,2002,4/1/2002 12:00:00 AM,BENNY MUSHAHARY,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,DON BOSCO WELFARE SOCEITY
EKLAVYA MODEL RESIDENTIAL SCHOOL,2020003,TRIPURA,NORTH TRIPURA,"DARCHWAI, KUMARGHAT, NORTH TIRPURA",799264,3824,"297878 ,",09436563084,,skpal.emrs2013@gmail.com,,1970,4/1/1991 12:00:00 AM,SUDIP KUMAR PAL,1,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2015,NAVODAYA VIDYALAYA SAMITI
Global Collegiate School,2030032,TRIPURA,NORTH TRIPURA,Kadamtala,799261,,"03822263020 ,",,,globalcschool@gmail.com,,2007,1/4/2008 12:00:00 AM,Mr.Bikash Nath,,"MA (Triple),M.Phil.B.Ed",7,7,Secondary School,Provisional,1/4/2017,31/3/2020,GLOBAL EDUCATIONAL FOUNDATION
Holy Cross School Kumarghat,2030027,TRIPURA,NORTH TRIPURA,"Holy Cross School,Pabiacherra ( P.O), Kumarghat - 799264",799264,0382,"4261225 ,",,,aneeshcsc@yahoo.com,,2008,1/17/2008 12:00:00 AM,ANEESH MATHEW,0,"M.A, B.ed",5,12,Secondary School,Provisional,1/4/2015,31/3/2018,HOLY CROSS EDUCATIONAL FOUNDATION
JAWAHAR NAVODAYA VIDYALAYA,2040004,TRIPURA,NORTH TRIPURA,"VILL & PO KHERENGJURI, DHARMANAGAR, NORTH TRIPURA, TRIPURA-799262",799262,3822,"290829 ,",09402382759,,rpkholwad74@gmail.com,,1990,4/30/2014 12:00:00 AM,RAJENDRA PRASAD MEENA,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,Navodaya Vidyalaya Samiti
KENDRIYA VIDYALAYA,2000004,TRIPURA,NORTH TRIPURA,BSF CAMPUS PANISAGAR NORTH TRIPURA,799260,0382,"2261259 ,",74448,265433,VIJJI.MSC2004@GMAIL.COM,http://kvsecljamuna.com,1984,5/17/2018 12:00:00 AM,CH VIJAY BABU INCHARGE PRINCIPAL,1,"M.A.Eng, B.Ed., M. Phil",1,11,Secondary School,Provisional,1/4/2017,31/3/2022,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,2000005,TRIPURA,NORTH TRIPURA,KAILASHAHAR NORTH TRIPURA,799277,3824,"222596 ,",22395,0744244010,rajeshwarajmer@gmail.com,http://www.kvno1kota.nic,1984,1/25/2009 12:00:00 AM,RAJESHWAR SINGH,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
Siksha Bhavan Montessori School,2030030,TRIPURA,NORTH TRIPURA,Mission Road DHARMANAGAR NORTH TRIPURA,799250,0382,"233033 ,",,,ushri08@gmail.com,,2004,3/1/2004 12:00:00 AM,Ushri Chakrabarty Sen,0,B.A. Honours,10,10,Secondary School,Provisional,1/4/2016,31/3/2019,Chitta Ranjan Siksha Trust
ASSAM RIFLES PUBLIC SCHOOL,2080001,TRIPURA,SOUTH TRIPURA,UDAIPUR SOUTH TRIPURA C/O 6 ASSAM RIFLES 99 APO,2430,03821,"222470 ,",9927600442,2602913,padmawatiacademy@rediffmail.com,,1985,7/6/2009 12:00:00 AM,SHRI SEBASTIAN MT,1,M.A. B.ED,5,10,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,23 ASSAM RIFFLES
"bhuratali, sabroom",2020008,TRIPURA,SOUTH TRIPURA,south tripura- 790 143,,,",",,,,,,7/5/2018 12:00:00 AM,.,0,,,,Secondary School,,Secondary School,,Secondary School
Brilliant Stars School,2030022,TRIPURA,SOUTH TRIPURA,"East Dhajanagar, Gokulpur, Udaipur, Gomati",799114,3821,"222049 ,",,,sinhabiswajit@gmail.com,http://www.brilliantstarsschool.org,2008,2/8/2008 12:00:00 AM,Biswajit Sinha,0,"BA, B Ed, M Ed",4,4,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Brilliant Stars Society
dhamma dipa school,2030016,TRIPURA,SOUTH TRIPURA,"p.o. bishnupur, manu bankul, sabroom, south tripura",799143,3823,"275519 ,",,03823275295,sibufrom1984@gmail.com,,2002,5/25/2002 12:00:00 AM,SIBU PAUL,0,"m.a., m.ed.",07,12,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,bahujana hitaya education trust
DON BOSCO SCHOOL,2030010,TRIPURA,SOUTH TRIPURA,DHAJANAGAR GOKULPUR UDAIPUR TRIPURA SOUTH TRIPURA,799114,91,"9612714646 ,",0120-4318947,2885593,ymstella25@gmail.com,,2002,8/4/1997 12:00:00 AM,Y Mary Stella,2,"M.Sc.,B.Ed.",10,15,Secondary School,Provisional,1/4/2015,31/3/2020,FERRANDO NIVAS TR & WELFARE SOC
Ebenezer High School,2030033,TRIPURA,SOUTH TRIPURA,Twiphuma Po- Sakbari Ps- Manu Bazar,799143,,"9862744287 ,",,,ebenezerhighschool85@gmail.com,,1983,1/10/1983 12:00:00 AM,Mr.Samir Chakraborty,,"M.A (Sociology),B.Ed",10,10,Secondary School,Provisional,1/4/2017,31/3/2020,EBENEZER HAMKARAI SOCIETY
