Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
ANAND VALLEY SCHOOL,3530361,UTTARAKHAND,ALMORA,"KAUSANI ROAD, SOMESHWAR",263637,5962,"243101 ,",,,anandvalleyschoolsom@gmail.com,,2007,7/7/2007 12:00:00 AM,NAHID RAZA,0,"MA, M.ED",5,8,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Anand Siksha Samiti
ARMY PUBLIC SCHOOL,3580008,UTTARAKHAND,ALMORA,ALEXANDRA LINES ALMORA UTTARANCHAL,263601,05962,"230769 ,",254433,236363,apsalmora@gmail.com,http://www.apsalmora.com,1991,4/1/2004 12:00:00 AM,Mr. MRS. KJ Fotedar,2,M.Sc BEd,20,22,Senior Secondary,Provisional,1/4/2008,31/ 3/ 2013,ARMY WELFARE EDUCATION SOCIETY (AWES)
ARMY PUBLIC SCHOOL,3580005,UTTARAKHAND,ALMORA,"NEAR RANIKHET CLUB, RANIKHET, UTTARANCHAL-263645",263645,,"267 ,",,,,,1982,3/27/1985 12:00:00 AM,MR KAMLESH JOSHI,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,ARMY WELFARE EDUCATION SOCIETY
BEERSHEBA SCHOOL,3530131,UTTARAKHAND,ALMORA,BHAWANI DUTT PARISHAR HIRA DUNGRI ALMORA UTTARANCHAL,248001,5962,"234819 ,",656593,0831- 2404060,neelamupreti15@gmail.com,http://www.klesociety.org,1993,6/1/2006 12:00:00 AM,NEELAM UPRETI,2,"B.A, M.Ed(Ph.D)",04,19,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,MANOHARI EDU & SOCIAL WELFARE
G D BIRLA MEMORIAL SCHOOL,3530045,UTTARAKHAND,ALMORA,BIRLA GRAM CHILIANAULA RANIKHET UTTARANCHAL,263647,5966,"226023 ,",9756701767,226021,principal@gdbms.net,WWW.GDBMS.NET,1987,11/14/2017 12:00:00 AM,Mohd Asim Ali,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,"PRAKASH EDUCATION SOCIETY , N DELHI"
Green Field Public School,3530409,UTTARAKHAND,ALMORA,Jakhan Devi Almora,263601,0596,"05962234464, ,",,,greenfieldalmora@gmail.com,http://www.greenfieldalmora.com,2002,4/2/2002 12:00:00 AM,MRS. SURINA CHAUDHARY,1,M.sc B.ed,5,12,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,green field educational & welfare Society
holy angel public school,3530203,UTTARAKHAND,ALMORA,lower mall rooad khatyari distt alma uttranchal,263601,05962,"254326 ,",7055302931,,hapsalmora@yahoo.in,,1993,4/1/2005 12:00:00 AM,Dr. Manoj Choudhary,1,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,bisht education & welfare society
JAWAHAR NAVODAYA VIDYALAYA,3540004,UTTARAKHAND,ALMORA,TARIKHET (RANIKHET) DISTT ALMORA UTTARANCHAL,263663,5966,"264230 ,",8936943880,,jnvalmora123@gmail.com,,1987,4/1/1991 12:00:00 AM,KANCHAN JOSHI,1,,,,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2024,NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA,3500009,UTTARAKHAND,ALMORA,RANIKHET ALMORA DISTT UTTARANCHAL,263645,5966,"226607 ,",7579289340,,tewarymala@yahoo.com,http://www.kvranikhet.com,1964,4/1/1991 12:00:00 AM,MALA TEWARY,1,MA B Ed,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,3500023,UTTARAKHAND,ALMORA,ALMORA (POKHAR KHALI) UTTARANCHAL,263601,91,"9456596210 ,",2248,,kv_almora2@yahoo.co.in,,1986,4/1/1991 12:00:00 AM,GOPAL MEENA,1,,,,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2011,KENDRIYA VIDYALAYA SANGATHAN
