Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
,,,,,,,,,,,,,,,,,,,,,,,
A.D. International School,2133105,UTTAR PRADESH,AGRA,"Kakrari,Kakua Deori Road Agra UP",282000,,"0562-2214467 ,",,0562-2214467,adinternationalschooll@gmail.com,http://www.adis.com,2016,4/1/2016 0:00,Mrs.Tapasi Das,,M.A.B.Ed,8,10,Secondary School,Provisional,1/4/2018,31/3/2021,Anguri Devi Shiksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
abhinav vidyalaya bijoli,2120028,UTTAR PRADESH,AGRA,"block- bah, distt. agra, division agra up",,,"0496 - 2623804 ,",,,qybhavan@yahoo.co.in,,2007,6/1/2007 0:00,PRINCIPAL,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,"bharatiya vidya bhavan,mumbai"
,,,,,,,,,,,,,,,,,,,,,,,
AGRA PUBLIC SCHOOL,2130077,UTTAR PRADESH,AGRA,ARTONI AGRA UTTAR PRADESH,282007,0,"7535807005 ,",2520040,2855668,dsvrma@rediffmail.com,,1965,4/12/2004 0:00,Abhinav Sharma,2,"M.A. , B.Ed. PhD",21,6,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,SHRI MAHESH CHANDRA SHARMA
,,,,,,,,,,,,,,,,,,,,,,,
AGRA VANASTHALI VIDYALAYA,2130789,UTTAR PRADESH,AGRA,JHARNA NALA CHALESAR FEROZABAD ROAD AGRA UP,282006,562,"4030865 ,",05278-222707,,AVVAGRA@GMAIL.COM,http://www.jbnss.org,2004,12/18/2000 0:00,SWARAJ PATHAK,1,MA eCONOMICS,5,8,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,SHRI PURAN CHAND MITTAL MEM SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
AIR FORCE SCHOOL,2180004,UTTAR PRADESH,AGRA,AIR FORCE STATION AGRA UTTAR PRADESH,282008,,",",,,josephskt@sancharnet.in,,1963,,MRS SUMAN NATH,,,,,Senior Secondary,Provisional,1/4/2003,31/ 3/ 2008,A F S AGRA
,,,,,,,,,,,,,,,,,,,,,,,
Alaknanda Academic School,2131840,UTTAR PRADESH,AGRA,"Semri Tal,Deori Road Agra",282001,562,"6541568 ,",,562,samsher01@bsnl.in,http://www.aas.com,2012,4/1/2012 0:00,SAMSHER SINGH,0,M.A.B.Ed,7,5,Secondary School,Provisional,1/4/2017,31/3/2022,Raj Foundation Trust
,,,,,,,,,,,,,,,,,,,,,,,
ALL SAINTS SCHOOL,2131023,UTTAR PRADESH,AGRA,"KAHRAI, NEAR T. V. TOWER, SHAMSHABAD ROAD, AGRA",282001,562,"3269426 ,",66935,0,chauhanramanand.s@gmail.com,http://www.xyz.com,2005,4/1/2005 0:00,RAMANAND CHAUHAN,1,"M.A.(ENGLISH), B.ED.",3,10,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,ALL SAINTS SCHOOL SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
ARMY PUBLIC SCHOOL,2180005,UTTAR PRADESH,AGRA,AGRA CANTT UTTAR PRADESH,282001,562,"2261895 ,",9453300974,,rajkumar@nda.vsnl.net.in,,1955,8/12/2007 0:00,MISS ABHA SHARMA,2,,,,Senior Secondary,Provisional,1/4/2005,31/ 3/ 2010,STATION HQ AGRA CANTT
,,,,,,,,,,,,,,,,,,,,,,,
AVMD INSTITUTE,2131834,UTTAR PRADESH,AGRA,"277 SAWAI-BHAWAI ROAD,VILLEGE-SAWAI TEHSIL-ETMADPUR,AGRA",283202,562,"22336544 ,",,,avmdinstitute@gmail.com,,2011,4/2/2012 0:00,NIRMAL CHAUHAN,0,B.ED,10,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,AVMD INSTITUTE
,,,,,,,,,,,,,,,,,,,,,,,
BALMUKUND RAMCHANDRA BAZARI SARASWATI VIDYA MANDIR,2130349,UTTAR PRADESH,AGRA,RANKTA RLY STATION PO ARTONI AGRA UTTAR PRADESH,281007,562,"3253880 ,",550909,0120-23219,brbsvm@rediffmail.com,,1962,4/2/2001 0:00,ASHOK KUMAR GUPTA,2,"M.Sc, B.Ed",6,17,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,RAM SARASWATI VIDYA MANDIR SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
Baluni Public School,2131966,UTTAR PRADESH,AGRA,"Vill-Sikanderpur Mustkil,post-Dayal Bagh,Agra UP",282005,562,"9690000892 ,",,0562-2600346,principal.bpsagra@gmail.com,http://www.bps.com,2013,4/1/2013 0:00,Chandra Ballabh Jadli,0,M.A.M.Ed,5,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Dr. Baluni Education Society
,,,,,,,,,,,,,,,,,,,,,,,
Baluni Public School,2132612,UTTAR PRADESH,AGRA,Deori Road Agra,282001,562,"9568437619 ,",,0562-2600346,deoribps@gmail.com,http://www.bps.com,2014,4/1/2014 0:00,Kavita Sharma,,M.A.M.Ed,8,10,Secondary School,Provisional,1/4/2017,31/3/2020,Dr. Baluni Education Society
,,,,,,,,,,,,,,,,,,,,,,,
BHARTIYA BAL VIDYA MANDIR SCHOOL,2131108,UTTAR PRADESH,AGRA,"ANSAL TOWN, BAGDA ROAD, BAROLI AHEER, SHAMSABAD ROAD",282001,0,"9412721233 ,",,0,bbvmsumit@hotmail.com,http://www.xyz.com,2007,4/2/2007 0:00,JANAK NANDINI,1,"M.A., B.ED.",5,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,SHRI TIRUPATI BALAJI SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
BHARTIYA VIDYAPEETH BAL BHARTI,2130150,UTTAR PRADESH,AGRA,BIHBAV NAGAR AGRA UTTAR PRADESH,282001,562,"4034821 ,",9897046664,,principalbvpagra@gmail.com,,1994,6/15/2000 0:00,SANDEEP KUMAR SINGH,1,MScphysicsMPhil BEd CIC,10,15,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,BHARTIYA VIDYAPEETH BAL BHARTI SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
BOSTON PUBLIC SCHOOL,2131351,UTTAR PRADESH,AGRA,"BODLA ROAD, DEHTORA ,SIKANDRA",282007,562,"6544647 ,",,,NARENRAJ1966@GMAIL.COM,,2008,4/1/2008 0:00,RAJ RANI SINGH,0,M.A. B.Ed.,5,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2018,BOSTON PUBLIC SCHOOL SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
C.V International School,2131784,UTTAR PRADESH,AGRA,Near Yamuna Express way Crossing Ujrayi Khandari Agra,283126,91,"9719279779 ,",,,cvinternationalschool@gmail.com,,2012,4/2/2012 0:00,SANOJ KUMAR,0,B.ed,0,5,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Virma Devi Samaj utthan Avm Shiksha Trust
,,,,,,,,,,,,,,,,,,,,,,,
