Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
ST. JOSEPHS CONVENT HIGH SCHOOL,2430142,WEST BENGAL,ASANSOL,"SUNSET AVANUE, P.O. - CHITTARANJAN,",713331,0341,"2535578 ,",,,sjccrjcbse@gmail.com,http://www.stjosephcrj.org,2008,4/2/2008 12:00:00 AM,SR LEENA MIRANDA BS,2,MA B.ED,10,22,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,THE CATHOLIC DIOCESE OF ASANSOL TRUST
DAV PUBLIC SCHOOL,2430065,WEST BENGAL,BANKURA,MEGIA THERMAL POWER STATION DVC PO MTPS DISTT BANKURA WEST BENGAL,722183,3241,"262347 , 71341",,,davps_mtps@rediffmail.com,,1997,4/1/1997 12:00:00 AM,M P SHARMA,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,DAV MANAGING COMMITTEE ND
JAWAHAR NAVODAYA VIDYALAYA,2440010,WEST BENGAL,BANKURA,"BANKURA, VILLAGE-POABAGAN, P.O. BHAGABANDH, DISTT. BANKURA, WEST BENGAL",722146,3242,"201044 ,",,,gkmrekha@gmail.com,,1992,3/31/2022 12:00:00 AM,GOVIND KUMAR MISHRA,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2016,Navodaya Vidyalaya Samiti
KENDRIYA VIDYALAYA,2400019,WEST BENGAL,BANKURA,COSSIPORE SEVEN TANK ESTATE 4 DUM DUM ROAD KOLKATA WEST BENGAL,700002,033,"25578327 ,",528327,,kvcossipore@rediffmail.com,http://www.kvnehu.org,1983,4/1/2005 12:00:00 AM,S V Vijayalakshmi,1,"M.Sc , M.Ed.",10,25,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
KENDRIYA VIDYALAYA,2400033,WEST BENGAL,BANKURA,"ORDNANCE FACTORY DUM DUM DUM DUM ESTATE KOLKATA, WEST BENGAL",700028,033,"25293826 ,",592500,2404928,kvofdumdum2011@gmail.com,http://www.kv1chakeri.org,1986,4/1/2005 12:00:00 AM,Anil Yadav,1,M.A.Eng.M.Ed.PGCTE,07,22,Senior Secondary,Provisional,1/4/2023,31/ 3/ 2024,KENDRIYA VIDYALAYA SANGATHAN
Manohari Devi Bajia DAV Public School,2430098,WEST BENGAL,BANKURA,"n.h. 60, bikna p.o. kesiakole, Distt Bankura, West Bengal",722155,3242,"201051 ,",09431132086,03242 241580,mdb_dav@yahoo.com,,2001,4/2/2001 12:00:00 AM,MALA SHARMA,2,"m.a., b.ed.",12,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,dav college trust and management society
SATYA NARAYAN ACADEMY,2430061,WEST BENGAL,BANKURA,RAMKRISHNA NAGAR P O NARRAH DISTT BANKURA WEST BENGAL,722101,3242,"264252 ,",03242-264265,3242264252,,,1993,,GIRIJA SHANKAR PANJA,1,"M.A., P.G.B.T., Ph.D",12,15,Senior Secondary,,Senior Secondary,,Senior Secondary
SHAMAYITA CONVENT SCHOOL,2430090,WEST BENGAL,BANKURA,"PO AMARKANAN BANKURA GANGAJAL GHATI, DISTT BANKURA WEST BENGAL",722133,3241,"265710 ,",26522,,shamayita.convent@gmail.com,,1986,4/1/2005 12:00:00 AM,SIB NATH MUKHERJEE,0,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,SHAMAYITA MATH
ST XAVIERS HIGH SCHOOL,2430130,WEST BENGAL,BANKURA,"DAMODARPUR NEAR (BANKURA ENGINEERING COLLEGE), PO - BHAGABANDH, DISTT BANKURA, WEST BENGAL , PIN 722 146",722146,3242,"201082 ,",07076830480,,st.xaviersbankura@gmail.com,http://www.stxaviershighschool.org.in,2007,3/24/2007 12:00:00 AM,Bharati Nayak,1,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,BISHESWAR PRASAD MEMORIAL EDUCATIONAL AND CHARITIABLE TRUST
West Point School.,2430107,WEST BENGAL,BANKURA,"Katjuridanga-Kesra Road, P.O. Kenduadihi, Dist. Bankura",722102,3242,"244199 ,",82305,,arindam25majhi@gmail.com,,2001,3/25/2001 12:00:00 AM,Arindam Majhi,0,"B.A.(Eng.Hons), B.Ed., L.L.B.",8,8,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Dr B.C.Majhi Educational Foundation
"D.A.V. Public School,",2430137,WEST BENGAL,BIRBHUM,"P.O.:-Hetampur Rajbati, P.S.:-Dubrajpur, Dist:-Birbhum,731124",731124,0,"9434042756 ,",,03462-270590,kuntalmukhopadhyay1964@gmail.com,,2002,4/1/2002 12:00:00 AM,KUNTAL KANTI MUKHOPADHYAY,0,M.A. B.Ed,10,20,Secondary School,Provisional,1/4/2016,31/3/2021,DAV College Trust & Management Society
GITANJALI PUBLIC SCHOOL,2430167,WEST BENGAL,BIRBHUM,VILL DAIKOTA PO DERIAPUR PS SAINTHIA DIST BIRBHUM,731234,3462,"264652 ,",,03462264628,gitanjali.cbse@gmail.com,http://www.gitanjalischool.org,2006,4/1/2006 12:00:00 AM,SOUVIK GHOSH,0,MA B ED,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,GITANJALI FOUNDATION
JAWAHAR NAVODAYA VIDYALAYA,2440015,WEST BENGAL,BIRBHUM,"GOPAL PUR, DISTT BIRBHUM, WEST BENGAL",731303,0346,"3269075 ,",269073-74,,swatimandal.jnv@gmail.com,,1992,,SWATI MANDAL,1,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,NAVODAYA VIDYALAYA SAMITI
kendriya vidyalaya,2400056,WEST BENGAL,BIRBHUM,"bolpur, at- ssda community centre, prantik township, po shantiniketan, distt. birbhum, west bengal",731235,0346,"261591 ,",09800965947,,kvbolpur2010@gmail.com,,1987,4/1/1991 12:00:00 AM,Snigdha Deb,1,,,,Secondary School,Provisional,1/4/2016,31/3/2021,kendriya vidyalaya sangathan
